First level,Domain/Workflow/...,Second Level,Third Level,V2 Section,V2 Section Names,v2+ HTML Page,v2+ Group Type,v2+ Group Section,Comments
,,,,10.4,Notification of Cancellation of Service/Resource on Appointment (Event S20),Message - S20 Notification of Cancellation of Service/Resource on Appointment,Message,Tab - SIU^S20^SIU_S12,
,,,,10.4,Notification of Cancellation of Service/Resource on Appointment (Event S20),Message - S20 Notification of Cancellation of Service/Resource on Appointment,Message,Tab - SIU Interaction,
,,,,10.4,Notification of Cancellation of Service/Resource on Appointment (Event S20),Message - S20 Notification of Cancellation of Service/Resource on Appointment,Message,Tab - ACK^S20^ACK,
,,,,10.4,Notification of Cancellation of Service/Resource on Appointment (Event S20),Message - S20 Notification of Cancellation of Service/Resource on Appointment,Message,Tab - ACK Interaction,
,,,,10.4;10.4.10,Request Discontinuation of Service/Resource on Appointment (Event S10),Message - S21 Request Discontinuation of Service/Resource on Appointment,Message,Text,
,,,,10.4,Request Discontinuation of Service/Resource on Appointment (Event S10),Message - S21 Request Discontinuation of Service/Resource on Appointment,Message,Tab - SIU^S21^SIU_S12,
,,,,10.4,Request Discontinuation of Service/Resource on Appointment (Event S10),Message - S21 Request Discontinuation of Service/Resource on Appointment,Message,Tab - SIU Interaction,
,,,,10.4,Request Discontinuation of Service/Resource on Appointment (Event S10),Message - S21 Request Discontinuation of Service/Resource on Appointment,Message,Tab - ACK^S21^ACK,
,,,,10.4,Request Discontinuation of Service/Resource on Appointment (Event S10),Message - S21 Request Discontinuation of Service/Resource on Appointment,Message,Tab - ACK Interaction,
,,,,10.4;10.4.11,Notification of Deletion of Service/Resource on Appointment (Event S22),Message - S22 Notification of Deletion of Service/Resource on Appointment ,Message,Text,
,,,,10.4,Notification of Deletion of Service/Resource on Appointment (Event S22),Message - S22 Notification of Deletion of Service/Resource on Appointment ,Message,Tab - SIU^S22^SIU_S12,
,,,,10.4,Notification of Deletion of Service/Resource on Appointment (Event S22),Message - S22 Notification of Deletion of Service/Resource on Appointment ,Message,Tab - SIU Interaction,
,,,,10.4,Notification of Deletion of Service/Resource on Appointment (Event S22),Message - S22 Notification of Deletion of Service/Resource on Appointment ,Message,Tab - ACK^S22^ACK,
,,,,10.4,Notification of Deletion of Service/Resource on Appointment (Event S22),Message - S22 Notification of Deletion of Service/Resource on Appointment ,Message,Tab - ACK Interaction,
,,,,10.4;10.4.12,Notification of Blocked Schedule Time Slot(S) (Event S23),Message - S23 Notification of Blocked Schedule Time Slot(s),Message,Text,
,,,,10.4,Notification of Blocked Schedule Time Slot(S) (Event S23),Message - S23 Notification of Blocked Schedule Time Slot(s),Message,Tab - SIU^S23^SIU_S12,
,,,,10.4,Notification of Blocked Schedule Time Slot(S) (Event S23),Message - S23 Notification of Blocked Schedule Time Slot(s),Message,Tab - SIU Interaction,
,,,,10.4,Notification of Blocked Schedule Time Slot(S) (Event S23),Message - S23 Notification of Blocked Schedule Time Slot(s),Message,Tab - ACK^S23^ACK,
,,,,10.4,Notification of Blocked Schedule Time Slot(S) (Event S23),Message - S23 Notification of Blocked Schedule Time Slot(s),Message,Tab - ACK Interaction,
,,,,10.4;10.4.13,"Notification of Opened (""un-blocked"") Schedule Time Slot(s) (Event S24)","Message - S24 Notification of Opened (""un-blocked"") Schedule Time Slot(s)",Message,Text,
,,,,10.4,"Notification of Opened (""un-blocked"") Schedule Time Slot(s) (Event S24)","Message - S24 Notification of Opened (""un-blocked"") Schedule Time Slot(s)",Message,Tab - SIU^S24^SIU_S12,
,,,,10.4,"Notification of Opened (""un-blocked"") Schedule Time Slot(s) (Event S24)","Message - S24 Notification of Opened (""un-blocked"") Schedule Time Slot(s)",Message,Tab - SIU Interaction,
,,,,10.4,"Notification of Opened (""un-blocked"") Schedule Time Slot(s) (Event S24)","Message - S24 Notification of Opened (""un-blocked"") Schedule Time Slot(s)",Message,Tab - ACK^S24^ACK,
,,,,10.4,"Notification of Opened (""un-blocked"") Schedule Time Slot(s) (Event S24)","Message - S24 Notification of Opened (""un-blocked"") Schedule Time Slot(s)",Message,Tab - ACK Interaction,
,,,,10.4;10.4.14,Notification That Patient Did Not Show Up for Scheduled Appointment (Event S26),Message - S26 Notification That Patient Did Not Show Up for Scheduled Appointment,Message,Text,
,,,,10.4,Notification That Patient Did Not Show Up for Scheduled Appointment (Event S26),Message - S26 Notification That Patient Did Not Show Up for Scheduled Appointment,Message,Tab - SIU^S26^SIU_S12,
,,,,10.4,Notification That Patient Did Not Show Up for Scheduled Appointment (Event S26),Message - S26 Notification That Patient Did Not Show Up for Scheduled Appointment,Message,Tab - SIU Interaction,
,,,,10.4,Notification That Patient Did Not Show Up for Scheduled Appointment (Event S26),Message - S26 Notification That Patient Did Not Show Up for Scheduled Appointment,Message,Tab - ACK^S26^ACK,
,,,,10.4,Notification That Patient Did Not Show Up for Scheduled Appointment (Event S26),Message - S26 Notification That Patient Did Not Show Up for Scheduled Appointment,Message,Tab - ACK Interaction,
,,,,10.4;10.4.15,Broadcast Notification of Scheduled Appointments (Event S27),Message - S27 Broadcast Notification of Scheduled Appointments,Message,Text,
,,,,10.4,Broadcast Notification of Scheduled Appointments (Event S27),Message - S27 Broadcast Notification of Scheduled Appointments,Message,Tab - SIU^S27^SIU_S12,
,,,,10.4,Broadcast Notification of Scheduled Appointments (Event S27),Message - S27 Broadcast Notification of Scheduled Appointments,Message,Tab - SIU Interaction,
,,,,10.4,Broadcast Notification of Scheduled Appointments (Event S27),Message - S27 Broadcast Notification of Scheduled Appointments,Message,Tab - ACK^S27^ACK,
,,,,10.4,Broadcast Notification of Scheduled Appointments (Event S27),Message - S27 Broadcast Notification of Scheduled Appointments,Message,Tab - ACK Interaction,
,,,Examples,10.7+,,Scheduling,Text,,
,,,,,,,,,
,,Referral,,,,,,,
,,,Introduction,11.2,,Patient Referral,Text,,
,,,General Use Cases / Background,11.2.1+; 11.2.2+,,Patient Referral,Text,,
,,,Implementation Considerations,<none>,,Patient Referral,Text,,
,,,Technical Specs,,,Patient Referral,Text,,
,,,,11.3; 11.3.1,RQI/RPI - Request for Insurance Information (Event I01),Message - I01 Request for Insurance,Message,Text,
,,,,11.3.1,RQI/RPI - Request for Insurance Information (Event I01),Message - I01 Request for Insurance,Message,Tab - RQI^I01^RQI_I01,
,,,,11.3.1,RQI/RPI - Request for Insurance Information (Event I01),Message - I01 Request for Insurance,Message,Tab - RQI Interaction,
,,,,11.3.1,RQI/RPI - Request for Insurance Information (Event I01),Message - I01 Request for Insurance,Message,Tab - ACK^I01^ACK,
,,,,11.3.1,RQI/RPI - Request for Insurance Information (Event I01),Message - I01 Request for Insurance,Message,Tab - ACK Interaction,
,,,,11.3.1,RQI/RPI - Request for Insurance Information (Event I01),Message - I01 Request for Insurance,Message,Tab - PRI^I01^RPI_I01,
,,,,11.3.1,RQI/RPI - Request for Insurance Information (Event I01),Message - I01 Request for Insurance,Message,Tab - RPI Interaction,
,,,,11.3; 11.3.2,RQI/RPL - Request/Receipt of Patient Selection Display List (Event I02),Message - I02 Request of Patient Selection Display List ,Message,Text,
,,,,11.3.2,RQI/RPL - Request/Receipt of Patient Selection Display List (Event I02),Message - I02 Request of Patient Selection Display List ,Message,Tab - RQI^I02^RQI_I01,
,,,,11.3.2,RQI/RPI - Request of Patient Selection Display List (Event I02),Message - I02 Request of Patient Selection Display List ,Message,Tab - RQI Interaction,
,,,,11.3.2,RQI/RPI - Request of Patient Selection Display List (Event I02),Message - I02 Request of Patient Selection Display List ,Message,Tab - ACK^I02^ACK,
,,,,11.3.2,RQI/RPI - Request of Patient Selection Display List (Event I02),Message - I02 Request of Patient Selection Display List ,Message,Tab - ACK Interaction,
,,,,11.3.2,RQI/RPI - Request of Patient Selection Display List (Event I02),Message - I02 Request of Patient Selection Display List ,Message,Tab - RPL^I02^RPL_I02,
,,,,11.3.2,RQI/RPI - Request of Patient Selection Display List (Event I02),Message - I02 Request of Patient Selection Display List ,Message,Tab - RPL Interaction,
,,,,11.3; 11.3.3,RQI/RPR - Request/Receipt of Patient Selection List (Event I03),Message - I03 Request of Patient Selection List ,Message,Text,
,,,,11.3.3,RQI/RPR - Request/Receipt of Patient Selection List (Event I03),Message - I03 Request of Patient Selection List ,Message,Tab - RQI^I03^RQI_I01,
,,,,11.3.3,RQI/RPR - Request/Receipt of Patient Selection List (Event I03),Message - I03 Request of Patient Selection List ,Message,Tab - RQI Interaction,
,,,,11.3.3,RQI/RPR - Request/Receipt of Patient Selection List (Event I03),Message - I03 Request of Patient Selection List ,Message,Tab - ACK^I03^ACK,
,,,,11.3.3,RQI/RPR - Request/Receipt of Patient Selection List (Event I03),Message - I03 Request of Patient Selection List ,Message,Tab - ACK Interaction,
,,,,11.3.3,RQI/RPR - Request/Receipt of Patient Selection List (Event I03),Message - I03 Request of Patient Selection List ,Message,Tab - RPR^I03^RPR_I03,
,,,,11.3.3,RQI/RPR - Request/Receipt of Patient Selection List (Event I03),Message - I03 Request of Patient Selection List ,Message,Tab - RPR Interaction,
,,,,11.3; 11.3.4,RQP/RPI - request for patient demographic data (Event I04),Message - I04 Request for Demographics,Message,Text,
,,,,11.3.4,RQP/RPI - request for patient demographic data (Event I04),Message - I04 Request for Demographics,Message,Tab - RQP^I04^RQP_I04,
,,,,11.3.4,RQP/RPI - request for patient demographic data (Event I04),Message - I04 Request for Demographics,Message,Tab - RQP Interaction,
,,,,11.3.4,RQP/RPI - request for patient demographic data (Event I04),Message - I04 Request for Demographics,Message,Tab - ACK^I04^ACK,
,,,,11.3.4,RQP/RPI - request for patient demographic data (Event I04),Message - I04 Request for Demographics,Message,Tab - ACK Interaction,
,,,,11.3.4,RQP/RPI - request for patient demographic data (Event I04),Message - I04 Request for Demographics,Message,Tab - RPI^I04^RPI_I04,
,,,,11.3.4,RQP/RPI - request for patient demographic data (Event I04),Message - I04 Request for Demographics,Message,Tab - RPI Interaction,
,,,,11.3; 11.3.7,PIN/ACK - Unsolicited Insurance Information (Event I07),Message - I07 Unsolicited Insurance Information ,Message,Text,
,,,,11.3.7,PIN/ACK - Unsolicited Insurance Information (Event I07),Message - I07 Unsolicited Insurance Information ,Message,Tab - RQI^I07^RQI_I01,
,,,,11.3.7,PIN/ACK - Unsolicited Insurance Information (Event I07),Message - I07 Unsolicited Insurance Information ,Message,Tab - RQI Interaction,
,,,,11.3.7,PIN/ACK - Unsolicited Insurance Information (Event I07),Message - I07 Unsolicited Insurance Information ,Message,Tab - ACK^I07^ACK,
,,,,11.3.7,PIN/ACK - Unsolicited Insurance Information (Event I07),Message - I07 Unsolicited Insurance Information ,Message,Tab - ACK Interaction,
,,,,11.4; 11.4.2,RQA/RPA – Request for Treatment Authorization Information (Event I08) ,Message - I08 Request for Treatment Authorization Information,Message,Text,
,,,,11.4.1,RQA/RPA - Request Patient Authorization Message (Event I08),Message - I08 Request for Treatment Authorization Information,Message,Tab - RQA^I08^RQA_I08,
,,,,11.4.1,RQA/RPA - Request Patient Authorization Message (Event I08),Message - I08 Request for Treatment Authorization Information,Message,Tab - RQI Interaction,
,,,,11.4.1,RQA/RPA - Request Patient Authorization Message (Event I08),Message - I08 Request for Treatment Authorization Information,Message,Tab - ACK^I08^ACK,
,,,,11.4.1,RQA/RPA - Request Patient Authorization Message (Event I08),Message - I08 Request for Treatment Authorization Information,Message,Tab - ACK Interaction,
,,,,11.4.1,RQA/RPA - Request Patient Authorization Message (Event I08),Message - I08 Request for Treatment Authorization Information,Message,Tab - RPA^I08^RPA_I08,
,,,,11.4.1,RQA/RPA - Request Patient Authorization Message (Event I08),Message - I08 Request for Treatment Authorization Information,Message,Tab - RPA Interaction,
,,,,11.4; 11.4.3,RQA/RPA - Request for Modification to an Authorization (Event I09,Message - I09 Request for Modification to an Authorization,Message,Text,
,,,,11.4.1,RQA/RPA - Request for Modification to an Authorization (Event I09,Message - I09 Request for Modification to an Authorization,Message,Tab - RQA^I09^RQA_I08,
,,,,11.4.1,RQA/RPA - Request for Modification to an Authorization (Event I09,Message - I09 Request for Modification to an Authorization,Message,Tab - RQI Interaction,
,,,,11.4.1,RQA/RPA - Request for Modification to an Authorization (Event I09,Message - I09 Request for Modification to an Authorization,Message,Tab - ACK^I09^ACK,
,,,,11.4.1,RQA/RPA - Request for Modification to an Authorization (Event I09,Message - I09 Request for Modification to an Authorization,Message,Tab - ACK Interaction,
,,,,11.4.1,RQA/RPA - Request for Modification to an Authorization (Event I09,Message - I09 Request for Modification to an Authorization,Message,Tab - RPA^I09^RPA_I08,
,,,,11.4.1,RQA/RPA - Request for Modification to an Authorization (Event I09,Message - I09 Request for Modification to an Authorization,Message,Tab - RPA Interaction,
,,,,11.4; 11.4.4,RQA/RPA - Request for Resubmission of an Authorization (Event I10),Message - I10 Request for Resubmission of an Authorizatio,Message,Text,
,,,,11.4.1,RQA/RPA - Request for Resubmission of an Authorization (Event I10),Message - I10 Request for Resubmission of an Authorizatio,Message,Tab - RQA^I10^RQA_I08,
,,,,11.4.1,RQA/RPA - Request for Resubmission of an Authorization (Event I10),Message - I10 Request for Resubmission of an Authorizatio,Message,Tab - RQI Interaction,
,,,,11.4.1,RQA/RPA - Request for Resubmission of an Authorization (Event I10),Message - I10 Request for Resubmission of an Authorizatio,Message,Tab - ACK^I10^ACK,
,,,,11.4.1,RQA/RPA - Request for Resubmission of an Authorization (Event I10),Message - I10 Request for Resubmission of an Authorizatio,Message,Tab - ACK Interaction,
,,,,11.4.1,RQA/RPA - Request for Resubmission of an Authorization (Event I10),Message - I10 Request for Resubmission of an Authorizatio,Message,Tab - RPA^I10^RPA_I08,
,,,,11.4.1,RQA/RPA - Request for Resubmission of an Authorization (Event I10),Message - I10 Request for Resubmission of an Authorizatio,Message,Tab - RPA Interaction,
,,,,11.4; 11.4.5,RQA/RPA - Request for Cancellation of an Authorization (Event I11),Message - I11 Request for Cancellation of an Authorization,Message,Text,
,,,,11.4.1,RQA/RPA - Request for Cancellation of an Authorization (Event I11),Message - I11 Request for Cancellation of an Authorization,Message,Tab - RQA^I11^RQA_I08,
,,,,11.4.1,RQA/RPA - Request for Cancellation of an Authorization (Event I11),Message - I11 Request for Cancellation of an Authorization,Message,Tab - RQI Interaction,
,,,,11.4.1,RQA/RPA - Request for Cancellation of an Authorization (Event I11),Message - I11 Request for Cancellation of an Authorization,Message,Tab - ACK^I11^ACK,
,,,,11.4.1,RQA/RPA - Request for Cancellation of an Authorization (Event I11),Message - I11 Request for Cancellation of an Authorization,Message,Tab - ACK Interaction,
,,,,11.4.1,RQA/RPA - Request for Cancellation of an Authorization (Event I11),Message - I11 Request for Cancellation of an Authorization,Message,Tab - RPA^I11^RPA_I08,
,,,,11.4.1,RQA/RPA - Request for Cancellation of an Authorization (Event I11),Message - I11 Request for Cancellation of an Authorization,Message,Tab - RPA Interaction,
,,,,11.5; 11.5.2,REF/RRI - Patient Referral (Event I12),Message - I12 Patient Referral,Message,Text,
,,,,11.5.1,REF/RRI - Patient Referral (Event I12),Message - I12 Patient Referral,Message,Tab - REF^I12^REF_I12,
,,,,11.5.1,REF/RRI - Patient Referral (Event I12),Message - I12 Patient Referral,Message,Tab - REF Interaction,
,,,,11.5.1,REF/RRI - Patient Referral (Event I12),Message - I12 Patient Referral,Message,Tab - ACK^I12^ACK,
,,,,11.5.1,REF/RRI - Patient Referral (Event I12),Message - I12 Patient Referral,Message,Tab - ACK Interaction,
,,,,11.5.1,REF/RRI - Patient Referral (Event I12),Message - I12 Patient Referral,Message,Tab - RRI^I12^RRI_I12,
,,,,11.5.1,REF/RRI - Patient Referral (Event I12),Message - I12 Patient Referral,Message,Tab - RRI Interaction,
,,,,11.5; 11.5.3,REF/RRI - Modify Patient Referral (Event I13),Message - I13 Modify Patient Referral,Message,Text,
,,,,11.5.1,REF/RRI - Modify Patient Referral (Event I13),Message - I13 Modify Patient Referral,Message,Tab - REF^I13^REF_I12,
,,,,11.5.1,REF/RRI - Modify Patient Referral (Event I13),Message - I13 Modify Patient Referral,Message,Tab - REF Interaction,
,,,,11.5.1,REF/RRI - Modify Patient Referral (Event I13),Message - I13 Modify Patient Referral,Message,Tab - ACK^I13^ACK,
,,,,11.5.1,REF/RRI - Modify Patient Referral (Event I13),Message - I13 Modify Patient Referral,Message,Tab - ACK Interaction,
,,,,11.5.1,REF/RRI - Modify Patient Referral (Event I13),Message - I13 Modify Patient Referral,Message,Tab - RRI^I13^RRI_I12,
,,,,11.5.1,REF/RRI - Modify Patient Referral (Event I13),Message - I13 Modify Patient Referral,Message,Tab - RRI Interaction,
,,,,11.5; 11.5.4,REF/RRI - Cancel Patient Referral (Event I14),Message - I14 Cancel Patient Referral,Message,Text,
,,,,11.5.1,REF/RRI - Cancel Patient Referral (Event I14),Message - I14 Cancel Patient Referral,Message,Tab - REF^I14^REF_I12,
,,,,11.5.1,REF/RRI - Cancel Patient Referral (Event I14),Message - I14 Cancel Patient Referral,Message,Tab - REF Interaction,
,,,,11.5.1,REF/RRI - Cancel Patient Referral (Event I14),Message - I14 Cancel Patient Referral,Message,Tab - ACK^I14^ACK,
,,,,11.5.1,REF/RRI - Cancel Patient Referral (Event I14),Message - I14 Cancel Patient Referral,Message,Tab - ACK Interaction,
,,,,11.5.1,REF/RRI - Cancel Patient Referral (Event I14),Message - I14 Cancel Patient Referral,Message,Tab - RRI^I14^RRI_I12,
,,,,11.5.1,REF/RRI - Cancel Patient Referral (Event I14),Message - I14 Cancel Patient Referral,Message,Tab - RRI Interaction,
,,,,11.5; 11.5.5,REF/RRI - Request Patient Referral Status (Event I15),Message - I15 Request Patient Referral Status,Message,Text,
,,,,11.5.1,REF/RRI - Request Patient Referral Status (Event I15),Message - I15 Request Patient Referral Status,Message,Tab - REF^I15^REF_I12,
,,,,11.5.1,REF/RRI - Request Patient Referral Status (Event I15),Message - I15 Request Patient Referral Status,Message,Tab - REF Interaction,
,,,,11.5.1,REF/RRI - Request Patient Referral Status (Event I15),Message - I15 Request Patient Referral Status,Message,Tab - ACK^I15^ACK,
,,,,11.5.1,REF/RRI - Request Patient Referral Status (Event I15),Message - I15 Request Patient Referral Status,Message,Tab - ACK Interaction,
,,,,11.5.1,REF/RRI - Request Patient Referral Status (Event I15),Message - I15 Request Patient Referral Status,Message,Tab - RRI^I15^RRI_I12,
,,,,11.5.1,REF/RRI - Request Patient Referral Status (Event I15),Message - I15 Request Patient Referral Status,Message,Tab - RRI Interaction,
,,,,11.6; 11.6.1,CCM/ACK – Collaborative Care Message (Event I21),Message - I21 Collaborative Care Message,Message,Text,
,,,,11.6.1,CCM/ACK – Collaborative Care Message (Event I21),Message - I21 Collaborative Care Message,Message,Tab - CCM^I21^CCM_I21,
,,,,11.6.1,CCM/ACK – Collaborative Care Message (Event I21),Message - I21 Collaborative Care Message,Message,Tab - CCM Interaction,
,,,,11.6.1,CCM/ACK – Collaborative Care Message (Event I21),Message - I21 Collaborative Care Message,Message,Tab - ACK^I21^ACK,
,,,,11.6.1,CCM/ACK – Collaborative Care Message (Event I21),Message - I21 Collaborative Care Message,Message,Tab - ACK Interaction,
,,,,11.6; 11.6.2; 11.6.3,CCR/ACK – Collaborative Care Referral (Event I16),Message - I16 Collaborative Care Referral,Message,Text,
,,,,11.6.2,CCR/ACK – Collaborative Care Referral (Event I16),Message - I16 Collaborative Care Referral,Message,Tab - CCR^I16^CCR_I16,
,,,,11.6.2,CCR/ACK – Collaborative Care Referral (Event I16),Message - I16 Collaborative Care Referral,Message,Tab - CCR Interaction,
,,,,11.6.2,CCR/ACK – Collaborative Care Referral (Event I16),Message - I16 Collaborative Care Referral,Message,Tab - ACK^I16^ACK,
,,,,11.6.2,CCR/ACK – Collaborative Care Referral (Event I16),Message - I16 Collaborative Care Referral,Message,Tab - ACK Interaction,
,,,,11.6; 11.6.2; 11.6.4,CCR/ACK – Modify Collaborative Care Referral (Event I17),Message - I17 Modify Collaborative Care Referral,Message,Text,
,,,,11.6.2,CCR/ACK – Modify Collaborative Care Referral (Event I17),Message - I17 Modify Collaborative Care Referral,Message,Tab - CCR^I17^CCR_I16,
,,,,11.6.2,CCR/ACK – Modify Collaborative Care Referral (Event I17),Message - I17 Modify Collaborative Care Referral,Message,Tab -  CCR Interaction,
,,,,11.6.2,CCR/ACK – Modify Collaborative Care Referral (Event I17),Message - I17 Modify Collaborative Care Referral,Message,Tab - ACK^I17^ACK,
,,,,11.6.2,CCR/ACK – Modify Collaborative Care Referral (Event I17),Message - I17 Modify Collaborative Care Referral,Message,Tab - ACK Interaction,
,,,,11.6; 11.6.2; 11.6.5,CCR/ACK – Cancel Collaborative Care Referral (Event I18),Message - I18 Cancel Collaborative Care Referral,Message,Text,
,,,,11.6.2,CCR/ACK – Cancel Collaborative Care Referral (Event I18),Message - I18 Cancel Collaborative Care Referral,Message,Tab - CCR^I18^CCR_I16,
,,,,11.6.2,CCR/ACK – Cancel Collaborative Care Referral (Event I18),Message - I18 Cancel Collaborative Care Referral,Message,Tab - CCR Interaction,
,,,,11.6.2,CCR/ACK – Cancel Collaborative Care Referral (Event I18),Message - I18 Cancel Collaborative Care Referral,Message,Tab - ACK^I18^ACK,
,,,,11.6.2,CCR/ACK – Cancel Collaborative Care Referral (Event I18),Message - I18 Cancel Collaborative Care Referral,Message,Tab - ACK Interaction,
,,,,11.6; 11.6.6,CCU/ACK – Asynchronous Collaborative Care Update (Event I20),Message - I20 Asynchronous Collaborative Care Update,Message,Text,
,,,,11.6.6,CCU/ACK – Asynchronous Collaborative Care Update (Event I20),Message - I20 Asynchronous Collaborative Care Update,Message,Tab - CCU^I20^CCU_I20,
,,,,11.6.6,CCU/ACK – Asynchronous Collaborative Care Update (Event I20),Message - I20 Asynchronous Collaborative Care Update,Message,Tab - CCU Interaction,
,,,,11.6.6,CCU/ACK – Asynchronous Collaborative Care Update (Event I20),Message - I20 Asynchronous Collaborative Care Update,Message,Tab - ACK^I120^ACK,
,,,,11.6.6,CCU/ACK – Asynchronous Collaborative Care Update (Event I20),Message - I20 Asynchronous Collaborative Care Update,Message,Tab - ACK Interaction,
,,,,11.7; 11.7.1,CCQ/CQU – Collaborative Care Query/Collaborative Care Query Update (Event I19),Message - I19 Collaborative Care Query/Collaborative Care Query Update,Message,Text,
,,,,11.7.1,CCQ/CQU – Collaborative Care Query/Collaborative Care Query Update (Event I19),Message - I19 Collaborative Care Query/Collaborative Care Query Update,Message,Tab - CCQ^I19^CCQ_I19,
,,,,11.7.1,CCQ/CQU – Collaborative Care Query/Collaborative Care Query Update (Event I19),Message - I19 Collaborative Care Query/Collaborative Care Query Update,Message,Tab - CCQ Interaction,
,,,,11.7.1,CCQ/CQU – Collaborative Care Query/Collaborative Care Query Update (Event I19),Message - I19 Collaborative Care Query/Collaborative Care Query Update,Message,Tab - ACK^I19^ACK,
,,,,11.7.1,CCQ/CQU – Collaborative Care Query/Collaborative Care Query Update (Event I19),Message - I19 Collaborative Care Query/Collaborative Care Query Update,Message,Tab - ACK Interaction,
,,,,11.7.1,CCQ/CQU – Collaborative Care Query/Collaborative Care Query Update (Event I19),Message - I19 Collaborative Care Query/Collaborative Care Query Update,Message,Tab - CQU^I19^CQU_I19,
,,,,11.7.1,CCQ/CQU – Collaborative Care Query/Collaborative Care Query Update (Event I19),Message - I19 Collaborative Care Query/Collaborative Care Query Update,Message,Tab - CQU Interaction,
,,,,11.7; 11.7.2,CCF/CCI – Collaborative Care Fetch / Collaborative Care Information (Event I22),Message - I22 Collaborative Care Fetch / Collaborative Care Information,Message,Text,
,,,,11.7.2,CCF/CCI – Collaborative Care Fetch / Collaborative Care Information (Event I22),Message - I22 Collaborative Care Fetch / Collaborative Care Information,Message,Tab - CCF^I22^CCF_I22,
,,,,11.7.2,CCF/CCI – Collaborative Care Fetch / Collaborative Care Information (Event I22),Message - I22 Collaborative Care Fetch / Collaborative Care Information,Message,Tab - CCF Interaction,
,,,,11.7.2,CCF/CCI – Collaborative Care Fetch / Collaborative Care Information (Event I22),Message - I22 Collaborative Care Fetch / Collaborative Care Information,Message,Tab - ACK^I22^ACK,
,,,,11.7.2,CCF/CCI – Collaborative Care Fetch / Collaborative Care Information (Event I22),Message - I22 Collaborative Care Fetch / Collaborative Care Information,Message,Tab - ACK Interaction,
,,,,11.7.2,CCF/CCI – Collaborative Care Fetch / Collaborative Care Information (Event I22),Message - I22 Collaborative Care Fetch / Collaborative Care Information,Message,Tab - CCI^I22^CCI_I22,
,,,,11.7.2,CCF/CCI – Collaborative Care Fetch / Collaborative Care Information (Event I22),Message - I22 Collaborative Care Fetch / Collaborative Care Information,Message,Tab - CCI Interaction,
,,,Examples,11.9+ (minus 11.9.6),,Patient Referral,Text,,Section 11.9.6 is an example of a deprecated message type and can probably be removed. Can be updated after extraction from Word
,,,,,,,,,
,Clinical,,,,,,,,
,,Introduction,,,,Clinical Domain,Text,,
,,General Orders and Results,,,,,,,
,,,Introduction,,,,Text,,
,,,,4.2+ (minus 4.2.1; 4.2.2),,,Text,,
,,,,4a.2+ (minus 4a.2.1; 4a.2.2),,,Text,,
,,,,7.2+ (minus 7.2.1; 7.2.2; 7.2.3; 7.2.4),,,Text,,
,,,,7.3,,,Text,,
,,,General Use Cases / Background,4.18.1,,,Text,,
,,,Implementation Considerations,7.2.1; 7.2.4,,,Text,,
,,,Technical Specs,,,,Text,,
,,,,,,Message - General Clinical Order,Message,Text,No section is listed.  Does this imply that new text is going to be written and added to the Message group?
,,,,4.4.4,OMG – general clinical order message (Event O19),Message - General Clinical Order,Message,Text,
,,,,4.4.4,OMG – general clinical order message (Event O19),Message - General Clinical Order,Message,Tab - OMG^O19^OMG_O19,
,,,,4.4.4,OMG – general clinical order message (Event O19),Message - General Clinical Order,Message,Tab - OMG Interaction,
,,,,4.4.5,ORG – general clinical order acknowledgement message (event O20),Message - General Clinical Order,Message,Text,
,,,,4.4.5,ORG – general clinical order acknowledgement message (event O20),Message - General Clinical Order,Message,Tab - ORG^O20^ORG_O20,
,,,,4.4.5,ORG – general clinical order acknowledgement message (event O20),Message - General Clinical Order,Message,Tab - ORG Interaction,
,,,,4.4.19!,OSU - Order Stauts Update Acknowledgement (Event O052),Message - General Clinical Order,Message,Text,
,,,,4.4.19,OSU - Order Status Update Acknowledgement (Event O052),Message - General Clinical Order,Message,Tab - OSU^O52^OSU_O52,
,,,,4.4.19,OSU - Order Status Update Acknowledgement (Event O052),Message - General Clinical Order,Message,Tab - OSU Interaction,
,,,,4.4.18,Order Status Update (Event O51) ,Message - Order Status Update,Message,Text,
,,,,4.4.18,Order Status Update (Event O51) ,Message - Order Status Update,Message,Tab - OSU^O51^OSU_O51,
,,,,4.4.18,Order Status Update (Event O51) ,Message - Order Status Update,Message,Tab - OSU^O51 Interaction,
,,,,4.4.19,OSU - Order Status Update Acknowledgement (Event O052),Message - Order Status Update,Message,Text,
,,,,4.4.19,OSU - Order Status Update Acknowledgement (Event O052),Message - Order Status Update,Message,Tab - OSU^O52^OSU_O52,
,,,,4.4.19,OSU - Order Status Update Acknowledgement (Event O052),Message - Order Status Update,Message,Tab - OSU Interaction,
,,,,,,Message - General Clinical Order with Supporting Document,Message,Text,
,,,,4.4.20,OMQ – General Order Message with Document Payload (Event O57),Message - General Clinical Order with Supporting Document,Message,Text,
,,,,4.4.20,OMQ – General Order Message with Document Payload (Event O57),Message - General Clinical Order with Supporting Document,Message,Tab - OMQ^O57^OMQ_O57,
,,,,4.4.20,OMQ – General Order Message with Document Payload (Event O57),Message - General Clinical Order with Supporting Document,Message,Tab - OMQ^O57 Interaction,
,,,,4.4.21,ORX – General Order Message with Document Payload Acknowledgement Message (Event O58) ,Message - General Clinical Order with Supporting Document,Message,Text,
,,,,4.4.21,ORX – General Order Message with Document Payload Acknowledgement Message (Event O58) ,Message - General Clinical Order with Supporting Document,Message,Tab - ORX^O58^ORX_O58,
