DataElement (Field) Name,CodeSystem Name,Field,Table #
OCE Edits per Visit Code,OCE Edit Code,GP1.4,458
Revenue Code,Revenue code,GP2.1,456
Reimbursement Action Code,Reimbursement Action Code,GP2.4,459
Denial or Rejection Code,Denial or Rejection Code,GP2.5,460
OCE Edit Code,OCE Edit Code,GP2.6,458
Ambulatory Payment Classification Code,Ambulatory Payment Classification Code,GP2.7,466
Modifier Edit Code,Modifier Edit Code,GP2.8,467
Payment Adjustment Code,Payment Adjustment Code,GP2.9,468
Packaging Status Code,Packaging Status Code,GP2.10,469
Reimbursement Type Code,Reimbursement Type Code,GP2.12,470
Value Type,Value Type,OBX.2,125
Observation Identifier,"",OBX.3,622
Units,"",OBX.6,623
Interpretation Codes,Interpretation Codes,OBX.8,78
Nature of Abnormal Test,Nature of Abnormal Testing,OBX.10,80
Observation Result Status,Observation Result Status Codes Interpretation,OBX.11,85
Producer's ID,"",OBX.15,624
Observation Method,"",OBX.17,626
Observation Site,Body Site,OBX.20,163
Mood Code,Mood Codes,OBX.22,725
Patient Results Release Category,Patient Results Release Categorization Scheme,OBX.26,909
Root Cause,Root Cause,OBX.27,914
Local Process Control,Process Control Code,OBX.28,915
Observation Type,Observation Type,OBX.29,936
Observation Sub-Type,Observation Sub-Type,OBX.30,937
Action Code,Segment Action Code,OBX.31,206
Observation Value Absent Reason,Data Absent Reason,OBX.32,960
Specimen Type,Specimen Type,SPM.4,487
Specimen Type Modifier,Specimen Type Modifier,SPM.5,541
Specimen Additives,Additive/Preservative,SPM.6,371
Specimen Collection Method,Specimen Collection Method,SPM.7,488
Specimen Source Site,"",SPM.8,784
Specimen Source Site Modifier,Specimen Source Type Modifier,SPM.9,542
Specimen Collection Site,Specimen Collection Site,SPM.10,543
Specimen Role,Specimen Role,SPM.11,369
Specimen Handling Code,Special Handling Code,SPM.15,376
Specimen Risk Code,Risk Codes,SPM.16,489
Specimen Availability,Yes/no Indicator,SPM.20,136
Specimen Reject Reason,Specimen Reject Reason,SPM.21,490
Specimen Quality,Specimen Quality,SPM.22,491
Specimen Appropriateness,Specimen Appropriateness,SPM.23,492
Specimen Condition,Specimen Condition,SPM.24,493
Container Type,"",SPM.27,785
Container Condition,Container Condition,SPM.28,544
Specimen Child Role,Specimen Child Role,SPM.29,494
Action Code,Segment Action Code,SPM.35,206
Action Code,Segment Action Code,PRT.2,206
Role of Participation,Participation,PRT.4,912
Organization Unit Type,Participant Organization Unit Type,PRT.7,406
Device Type,Device Type,PRT.22,961
Preferred Method of Contact,Preferred Method of Contact,PRT.23,185
Contact Identifiers,Employee Classification,PRT.24,328
Institution Registering the Patient,"",CSR.3,589
Patient Study Eligibility Status,"",CSR.10,590
Randomized Study Arm,"",CSR.12,591
Stratum for Study Randomization,"",CSR.13,592
Patient Evaluability Status,"",CSR.14,593
Reason Ended Study,"",CSR.16,594
Action Code,Segment Action Code,CSR.17,206
Study Phase Identifier,"",CSP.1,587
Study Phase Evaluability,"",CSP.4,588
Study Scheduled Time Point,"",CSS.1,595
Study Quality Control Codes,"",CSS.3,596
Study Phase Identifier,"",CTI.2,587
Study Scheduled Time Point,"",CTI.3,595
Action Code,Segment Action Code,CTI.4,206
Event Report Timing/Type,Report Timing,PES.11,234
Event Report Source,Report Source,PES.12,235
Event Reported To,Event Reported To,PES.13,236
Event Identifiers Used,"",PEO.1,678
Event Symptom/Diagnosis Code,"",PEO.2,679
Event Qualification,Event Qualification,PEO.8,237
Event Serious,Event Seriousness,PEO.9,238
Event Expected,Event Expected,PEO.10,239
Event Outcome,Event Consequence,PEO.11,240
Patient Outcome,Patient Outcome,PEO.12,241
Cause Of Death,"",PEO.18,680
Primary Observer's Qualification,Primary Observer's Qualification,PEO.22,242
Confirmation Provided By,Primary Observer's Qualification,PEO.23,242
Primary Observer's identity May Be Divulged,Identity May Be Divulged,PEO.25,243
Implicated Product,"",PCR.1,670
Generic Product,Generic Product,PCR.2,249
Product Class,"",PCR.3,671
Single Use Device,Single Use Device,PCR.9,244
Indication For Product Use,"",PCR.10,672
Product Problem,Product Problem,PCR.11,245
Product Available For Inspection,Product Available for Inspection,PCR.13,246
Product Evaluation Performed,"",PCR.14,673
Product Evaluation Status,Status of Evaluation,PCR.15,247
Product Evaluation Results,"",PCR.16,674
Evaluated Product Source,Product Source,PCR.17,248
Device Operator Qualifications,Primary Observer's Qualification,PCR.19,242
Relatedness Assessment,Relatedness Assessment,PCR.20,250
Action Taken In Response To The Event,Action Taken in Response to the Event,PCR.21,251
Event Causality Observations,Causality Observations,PCR.22,252
Indirect Exposure Mechanism,Indirect Exposure Mechanism,PCR.23,253
Quantity Distributed Method,Quantity Method,PSH.8,329
Quantity in Use Method,Quantity Method,PSH.11,329
Country,"",PDC.2,675
Generic Name,"",PDC.5,676
Product Code,"",PDC.9,677
Marketing Basis,Marketing Basis,PDC.10,330
Facility Type,Facility Type,FAC.2,331
Shipment Status,Shipment Status,SHP.3,905
Shipment Priority,ActPriority,SHP.6,906
Shipment Confidentiality,Confidentiality,SHP.7,907
Shipment Condition,Container Condition,SHP.9,544
Shipment Handling Code,Special Handling Code,SHP.10,376
Shipment Risk Code,Risk Codes,SHP.11,489
Action Code,Segment Action Code,SHP.12,206
Package Type,Package Type,PAC.5,908
Package Condition,Container Condition,PAC.6,544
Package Handling Code,Special Handling Code,PAC.7,376
Package Risk Code,Risk Codes,PAC.8,489
Action Code,Segment Action Code,PAC.9,206
Master File Identifier,Master File Identifier Code,MFI.1,175
Master File Application Identifier,Application,MFI.2,361
File-Level Event Code,File Level Event Code,MFI.3,178
Response Level Code,Response Level,MFI.6,179
Record-Level Event Code,Record-level Event Code,MFE.1,180
Primary Key Value - MFE,"",MFE.4,608
Primary Key Value Type,Primary Key Value Type,MFE.5,355
Record-Level Event Code,Record-level Event Code,MFA.1,180
MFN Record Level Error Return,MFN Record-level Error Return,MFA.4,181
Primary Key Value - MFA,"",MFA.5,607
Primary Key Value Type - MFA,Primary Key Value Type,MFA.6,355
Producer's Service/Test/Observation ID,"",OM1.2,630
Permitted Data Types,Value Type,OM1.3,125
Specimen Required,Yes/no Indicator,OM1.4,136
Producer ID,"",OM1.5,631
Other Service/Test/Observation IDs for the Observation,"",OM1.7,632
Orderability,Yes/no Indicator,OM1.12,136
Identity of Instrument Used to Perform this Study,"",OM1.13,633
Coded Representation of Method,"",OM1.14,635
Portable Device Indicator,Yes/no Indicator,OM1.15,136
Observation Producing Department/Section,"",OM1.16,636
Nature of Service/Test/Observation,Nature of Service/Test/Observation,OM1.18,174
Report Subheader,"",OM1.19,637
Processing Priority,Processing Priority,OM1.25,168
Reporting Priority,Reporting Priority,OM1.26,169
Outside Site(s) Where Observation May Be Performed,"",OM1.27,638
Confidentiality Code,Confidentiality Code,OM1.30,177
Observations Required to Interpret this Observation,"",OM1.31,639
Contraindications to Observations,"",OM1.33,640
Reflex Tests/Observations,"",OM1.34,641
Fixed Canned Message,"",OM1.36,643
Procedure Medication,"",OM1.38,644
Kind of Quantity Observed,Kind of Quantity,OM1.42,254
Point Versus Interval,Duration Categories,OM1.43,255
Challenge Information,Time Delay Post Challenge,OM1.44,256
Relationship Modifier,Relationship Modifier,OM1.45,258
Target Anatomic Site Of Test,"",OM1.46,645
Modality of Imaging Measurement,Acquisition Modality,OM1.47,910
Exclusive Test,Exclusive Test,OM1.48,919
Diagnostic Serv Sect ID,Diagnostic Service Section ID,OM1.49,74
Taxonomic Classification Code,Species Code,OM1.50,446
Observation/Identifier associated with Producer’s Service/Test/Observation ID,"",OM1.56,647
Gender Restriction,Administrative Sex,OM1.58,1
Units of Measure,"",OM2.2,648
Corresponding SI Units of Measure,"",OM2.4,649
Preferred Coding System,"",OM3.2,650
"Valid Coded ""Answers""","",OM3.3,652
Normal Text/Codes for Categorical Observations,"",OM3.4,654
Abnormal Text/Codes for Categorical Observations,"",OM3.5,655
Critical Text/Codes for Categorical Observations,"",OM3.6,656
Value Type,Value Type,OM3.7,125
Derived Specimen,Derived Specimen,OM4.2,170
Container Units,"",OM4.5,658
Specimen,"",OM4.6,660
Additive,Additive/Preservative,OM4.7,371
Specimen Priorities,Priority,OM4.13,27
Specimen Handling Code,Special Handling Code,OM4.15,376
Specimen Preference,Preferred Specimen/Attribute Status,OM4.16,920
Taxonomic Classification Code,Species Code,OM4.18,446
Test/Observations Included Within an Ordered Test Battery,"",OM5.2,662
Universal Service Identifier,"",OM7.2,612
Category Identifier,Category Identifier,OM7.3,412
Test/Service Default Duration Units,"",OM7.9,663
Consent Indicator,Yes/no Indicator,OM7.11,136
Consent Identifier,Consent Identifier,OM7.12,413
Consent Interval Units,Units of Time,OM7.16,414
Consent Waiting Period Units,Units of Time,OM7.18,414
Formulary Status,Formulary Status,OM7.22,473
Special Order Indicator,Yes/no Indicator,OM7.23,136
Primary Key Value - CDM,Transaction Code,OM7.24,132
Segment Action Code,Segment Action Code,OMC.2,206
Clinical Information Request,"",OMC.4,664
Collection Event/Process Step,Collection Event/Process Step Limit,OMC.5,938
Communication Location,Communication Location,OMC.6,939
Answer Required,Yes/no Indicator,OMC.7,136
Type of Answer,Value Type,OMC.9,125
Multiple Answers Allowed,Yes/no Indicator,OMC.10,136
Answer Choices,"",OMC.11,665
Health Plan ID,Insurance Plan ID,PM1.1,72
Patient DOB Required,Yes/no Indicator,PM1.11,136
Patient Gender Required,Yes/no Indicator,PM1.12,136
Patient Relationship Required,Yes/no Indicator,PM1.13,136
Patient Signature Required,Yes/no Indicator,PM1.14,136
Diagnosis Required,Yes/no Indicator,PM1.15,136
Service Required,Yes/no Indicator,PM1.16,136
Patient Name Required,Yes/no Indicator,PM1.17,136
Patient Address Required,Yes/no Indicator,PM1.18,136
Subscribers Name Required,Yes/no Indicator,PM1.19,136
Workman's Comp Indicator,Yes/no Indicator,PM1.20,136
Bill Type Required,Yes/no Indicator,PM1.21,136
Commercial Carrier Name and Address Required,Yes/no Indicator,PM1.22,136
Producer's Service/Test/Observation ID,"",MCP.2,630
Diagnosis Code - MCP,Diagnosis Code,DPS.1,51
Procedure Code,Procedure Code,DPS.2,941
Type of Limitation,Limitation Type Codes,DPS.5,940
Location Type - LOC,Patient Location Type,LOC.3,260
License Number,License Number,LOC.7,461
Location Equipment,Location Equipment,LOC.8,261
Location Service Code,Location Service Code,LOC.9,442
Segment Action Code,Segment Action Code,LCH.2,206
Location Characteristic ID,Location Characteristic ID,LCH.4,324
Location Characteristic Value - LCH,Yes/no Indicator,LCH.5,136
Segment Action Code,Segment Action Code,LRL.2,206
Location Relationship ID,Location Relationship ID,LRL.4,325
Location Department,Location Department,LDP.2,264
Location Service,Hospital Service,LDP.3,69
Specialty Type,Specialty Type,LDP.4,265
Valid Patient Classes,Patient Class,LDP.5,4
Active/Inactive Flag,Active/Inactive,LDP.6,183
Visiting Hours,Days of the Week,LDP.10,267
Location Cost Center,Location Cost Center,LDP.12,462
Location Department,Location Department,LCC.2,264
Accommodation Type,Accommodation Code,LCC.3,129
Charge Code,Transaction Code,LCC.4,132
Primary Key Value - CDM,Transaction Code,CDM.1,132
Charge Code Alias,Transaction Code,CDM.2,132
Description Override Indicator,Override,CDM.5,268
Exploding Charges,Transaction Code,CDM.6,132
Active/Inactive Flag,Active/Inactive,CDM.8,183
Inventory Number,Inventory Number,CDM.9,463
Room Fee Indicator,Yes/no Indicator,CDM.13,136
Primary Key Value - PRC,Transaction Code,PRC.1,132
Facility ID - PRC,Facility ID,PRC.2,464
Department,Department,PRC.3,184
Valid Patient Classes,Patient Class,PRC.4,4
Price Override Flag,Override,PRC.13,268
Billing Category,Billing Category,PRC.14,293
Chargeable Flag,Yes/no Indicator,PRC.15,136
Active/Inactive Flag,Active/Inactive,PRC.16,183
Charge on Indicator,Charge On Indicator,PRC.18,269
Study Phase Identifier,"",CM1.2,587
Diagnostic Related Group,Diagnosis Related Group,DMI.1,55
Major Diagnostic Category,Major Diagnostic Category,DMI.2,118
Contract Status,Certificate Status,CTR.3,536
Supplier Type,Supplier Type,CTR.8,946
Contract Type,Contract Type,CTR.9,965
Free On Board Freight Terms,Expanded Yes/no Indicator,CTR.10,532
Fixed Price Contract Indicator,Expanded Yes/no Indicator,CTR.12,532
Pricing Tier Level,Pricing Tier Level,CTR.18,966
Class of Trade,Class of Trade,CTR.20,947
Consent Type,Consent Type,CON.2,496
Consent Mode,Consent Mode,CON.10,497
Consent Status,Consent Status,CON.11,498
Subject Competence Indicator,Yes/no Indicator,CON.16,136
Translator Assistance Indicator,Yes/no Indicator,CON.17,136
Language Translated To,Primary Language,CON.18,296
Informational Material Supplied Indicator,Yes/no Indicator,CON.19,136
Consent Bypass Reason,Consent Bypass Reason,CON.20,499
Consent Disclosure Level,Consent Disclosure Level,CON.21,500
Consent Non-disclosure Reason,Consent Non-Disclosure Reason,CON.22,501
Non-subject Consenter Reason,Non-Subject Consenter Reason,CON.23,502
Relationship to Subject,Signatory's Relationship to Subject,CON.25,548
Document Type,Document Type,TXA.2,270
Document Content Presentation,Type of Referenced Data,TXA.3,191
Document Confidentiality Status,Document Confidentiality Status,TXA.18,272
Document Storage Status,Document Storage Status,TXA.20,275
Folder Assignment,"",TXA.24,791
Creating Specialty,"",TXA.28,792
Appointment Reason,Appointment reason codes,ARQ.7,276
Appointment Type,Appointment Type Codes,ARQ.8,277
Appointment Reason,Appointment reason codes,SCH.7,276
Appointment Type,Appointment Type Codes,SCH.8,277
Filler Status Code,Filler status codes,SCH.25,278
Segment Action Code,Segment Action Code,RGS.2,206
Segment Action Code,Segment Action Code,AIS.2,206
Universal Service Identifier,"",AIS.3,612
Allow Substitution Code,Allow Substitution Codes,AIS.9,279
Filler Status Code,Filler status codes,AIS.10,278
Placer Supplemental Service Information,Supplemental Service Information Values,AIS.11,411
Filler Supplemental Service Information,Supplemental Service Information Values,AIS.12,411
Segment Action Code,Segment Action Code,AIG.2,206
Allow Substitution Code,Allow Substitution Codes,AIG.13,279
Filler Status Code,Filler status codes,AIG.14,278
Segment Action Code,Segment Action Code,AIL.2,206
Location Type - AIL,Person Location Type,AIL.4,305
Allow Substitution Code,Allow Substitution Codes,AIL.11,279
Filler Status Code,Filler status codes,AIL.12,278
Segment Action Code,Segment Action Code,AIP.2,206
Resource Type,Staff type,AIP.4,182
Allow Substitution Code,Allow Substitution Codes,AIP.11,279
Filler Status Code,Filler status codes,AIP.12,278
Time Selection Criteria,Time Selection Criteria Parameter Class Codes,APR.1,294
Resource Selection Criteria,Time Selection Criteria Parameter Class Codes,APR.2,294
Location Selection Criteria,Time Selection Criteria Parameter Class Codes,APR.3,294
Referral Status,Referral Status,RF1.1,283
Referral Priority,Referral Priority,RF1.2,280
Referral Type,Referral Type,RF1.3,281
Referral Disposition,Referral Disposition,RF1.4,282
Referral Category,Referral Category,RF1.5,284
Referral Reason,Referral Reason,RF1.10,336
Referral Documentation Completion Status,Referral Documentation Completion Status,RF1.12,865
Action Code,Segment Action Code,RF1.25,206
"Authorizing Payor, Plan ID",Insurance Plan ID,AUT.1,72
"Authorizing Payor, Company ID",Insurance Company ID Codes,AUT.2,285
Requested Discipline(s),"",AUT.11,522
Authorized Discipline(s),"",AUT.12,546
Authorization Referral Type,"",AUT.13,551
Approval Status,"",AUT.14,563
Clinical Service,"",AUT.16,573
Encounter Type,"",AUT.21,574
Action Code,Segment Action Code,AUT.29,206
Provider Role,Provider Role,PRD.1,286
Preferred Method of Contact,Preferred Method of Contact,PRD.6,185
Provider Identifiers,Practitioner ID Number Type,PRD.7,338
Provider Organization Method of Contact,Preferred Method of Contact,PRD.14,185
Contact Role,Contact Role,CTD.1,131
Preferred Method of Contact,Preferred Method of Contact,CTD.6,185
Contact Identifiers,Employee Classification,CTD.7,328
Action Code,Segment Action Code,GOL.1,206
Mood Code,Mood Codes,GOL.22,725
Action Code,Segment Action Code,PRB.1,206
Problem Severity,Problem Severity,PRB.26,836
Problem Perspective,Problem Perspective,PRB.27,838
Mood Code,Mood Codes,PRB.28,725
Action Code,Segment Action Code,PTH.1,206
Mood Code,Mood Codes,PTH.7,725
Relationship Type,Relationship Type,REL.2,948
Negation Indicator,Yes/no Indicator,REL.12,136
Separability Indicator,Yes/no Indicator,REL.16,136
Source Information Instance Object Type,Identifier Type,REL.17,203
Target Information Instance Object Type,Identifier Type,REL.18,203
Equipment State,Equipment State,EQU.3,365
Local/Remote Control State,Local/Remote Control State,EQU.4,366
Alert Level,Alert Level,EQU.5,367
Interaction Type Identifier,Remote Control Command,ISD.2,368
Interaction Active State,Command Response,ISD.3,387
Container Status,Container Status,SAC.8,370
Carrier Type,Carrier Type,SAC.9,378
Tray Type – SAC,Tray Type,SAC.12,379
Location,"",SAC.15,774
Container Height/Diameter/Delta Units,"",SAC.20,775
Volume Units,"",SAC.24,777
Separator Type,Separator Type,SAC.25,380
Cap Type,Cap Type,SAC.26,381
Additive,Additive/Preservative,SAC.27,371
Specimen Component,Specimen Component,SAC.28,372
Treatment,Treatment,SAC.30,373
Hemolysis Index Units,"",SAC.33,779
Lipemia Index Units,"",SAC.35,780
Icterus Index Units,"",SAC.37,781
Fibrin Index Units,"",SAC.39,782
System Induced Contaminants,System Induced Contaminants,SAC.40,374
Drug Interference,Drug Interference,SAC.41,382
Artificial Blood,Artificial Blood,SAC.42,375
Special Handling Code,Special Handling Code,SAC.43,376
Other Environmental Factors,Other Environmental Factors,SAC.44,377
Container Form,Container Form,SAC.47,967
Container Material,Container Material,SAC.48,968
Container Common Name,Container Common Name,SAC.49,969
Substance Identifier,Substance Identifier,INV.1,451
Substance Status,Substance Status,INV.2,383
Substance Type,Substance Type,INV.3,384
Inventory Container Identifier,"",INV.4,599
Container Carrier Identifier,"",INV.5,600
Position on Carrier,"",INV.6,601
Quantity Units,"",INV.11,602
Test/Fluid Identifier(s),"",INV.15,603
Manufacturer Identifier,Manufacturer Identifier,INV.17,385
Supplier Identifier,Supplier Identifier,INV.18,386
Equipment State Indicator Type Code,Equipment State Indicator Type Code,INV.21,942
Remote Control Command,Remote Control Command,ECD.2,368
Response Required,Yes/no Indicator,ECD.3,136
Command Response,Command Response,ECR.1,387
Notification Alert Severity,Alert Level,NDS.3,367
Notification Code,"",NDS.4,610
Starting Notification Code,"",CNS.5,585
Ending Notification Code,"",CNS.6,586
Universal Service Identifier,"",TCC.1,612
Automatic Rerun Allowed,Yes/no Indicator,TCC.9,136
Automatic Repeat Allowed,Yes/no Indicator,TCC.10,136
Automatic Reflex Allowed,Yes/no Indicator,TCC.11,136
Units,"",TCC.13,623
Processing Type,Processing Type,TCC.14,388
Universal Service Identifier,"",TCD.1,612
Automatic Repeat Allowed,Yes/no Indicator,TCD.6,136
Reflex Allowed,Yes/no Indicator,TCD.7,136
Analyte Repeat Status,Analyte Repeat Status,TCD.8,389
Auto-Dilution Type,Auto-Dilution Type,TCD.11,945
Application/Method Identifier,"",SID.1,783
Substance Manufacturer Identifier,Manufacturer Identifier,SID.4,385
Event type,Event Type,EQP.1,450
Destination,Transport Destination,DST.1,943
Route,Transport Route,DST.2,944
Application Change Type,Application Change Type,NSC.1,409
Current Application,Application,NSC.4,361
Current Facility,Facility,NSC.5,362
New Application,Application,NSC.8,361
New Facility,Facility,NSC.9,362
Statistics Available,Yes/no Indicator,NST.1,136
Source Type,Source Type,NST.3,332
Granting Country,Country Code,CER.7,399
Granting State/Province,State/Province,CER.8,347
Granting County/Parish,County/Parish,CER.9,289
Basic Constraint,Yes/no Indicator,CER.17,136
Jurisdiction Country,Country Code,CER.19,399
Jurisdiction State/Province,State/Province,CER.20,347
Jurisdiction County/Parish,County/Parish,CER.21,289
Jurisdiction Breadth,Jurisdictional Breadth,CER.22,547
Certificate Status Code,Certificate Status,CER.31,536
Academic Degree,Degree/License/Certificate,EDU.2,360
School Type Code,School Type,EDU.7,402
Language Code,Primary Language,LAN.2,296
Language Ability Code,Language Ability,LAN.3,403
Language Proficiency Code,Language Proficiency,LAN.4,404
Organization Unit Code,Organization Unit,ORG.2,405
Organization Unit Type Code,Practitioner Organization Unit Type,ORG.3,474
Primary Org Unit Indicator,Yes/no Indicator,ORG.4,136
Health Care Provider Type Code,Health Care Provider Type Code,ORG.6,452
Health Care Provider Classification Code,Health Care Provider Classification,ORG.7,453
Health Care Provider Area of Specialization Code,Health Care Provider Area of Specialization,ORG.8,454
Employment Status Code,Employment Status,ORG.10,66
Board Approval Indicator,Yes/no Indicator,ORG.11,136
Primary Care Physician Indicator,Yes/no Indicator,ORG.12,136
Cost Center Code,Cost Center Code,ORG.13,539
Primary Key Value - PRA,"",PRA.1,681
Practitioner Group,Practitioner Group,PRA.2,358
Practitioner Category,Practitioner Category,PRA.3,186
Provider Billing,Provider Billing,PRA.4,187
Specialty,Certification Status,PRA.5,337
Practitioner ID Numbers,Practitioner ID Number Type,PRA.6,338
Institution,Institution,PRA.9,537
Government Reimbursement Billing Eligibility,Government Reimbursement Program,PRA.11,401
Action Code,Segment Action Code,ROL.2,206
Role-ROL,Provider Role,ROL.3,443
Organization Unit Type,Participant Organization Unit Type,ROL.10,406
Primary Key Value – STF,"",STF.1,786
Staff Identifier List,Check Digit Scheme,STF.2,61
Staff Type,Staff type,STF.4,182
Administrative Sex,Administrative Sex,STF.5,1
Active/Inactive Flag,Active/Inactive,STF.7,183
Department,Department,STF.8,184
Hospital Service – STF,Hospital Service,STF.9,69
Institution Activation Date,Institution,STF.12,537
Institution Inactivation Date,Institution,STF.13,537
Preferred Method of Contact,Preferred Method of Contact,STF.16,185
Marital Status,Marital Status,STF.17,2
Job Code/Class,Job Code,STF.19,327
Employment Status Code,Employment Status,STF.20,66
Additional Insured on Auto,Yes/no Indicator,STF.21,136
Copy Auto Ins,Yes/no Indicator,STF.23,136
Race,Race,STF.27,5
Ethnic Group,Ethnic Group,STF.28,189
Re-activation Approval Indicator,Yes/no Indicator,STF.29,136
Citizenship,Citizenship,STF.30,171
Death Indicator,Yes/no Indicator,STF.32,136
Institution Relationship Type Code,Institution Relationship Type,STF.33,538
Cost Center Code,Cost Center Code,STF.36,539
Generic Classification Indicator,Yes/no Indicator,STF.37,136
Inactive Reason Code,Inactive Reason Code,STF.38,540
Religion,Religion,STF.40,6
Patient Consent,Yes/no Indicator,RFI.3,136
Invoice Control,Invoice Control Code,IVC.4,553
Invoice Reason,Invoice Reason Codes,IVC.5,554
Invoice Type,Invoice Type,IVC.6,555
Last Invoice Indicator,Yes/no Indicator,IVC.13,136
Benefit Group,Benefit Group,IVC.25,556
Provider Tax Status,Tax status,IVC.28,572
Payer Tax Status,Tax status,IVC.29,572
Payee Type,Payee Type,PYE.2,557
Payee Relationship to Invoice,Payee Relationship to Invoice,PYE.3,558
Payment Method,Payment Method Code,PYE.7,570
Adjudicate as Group,Yes/no Indicator,PSG.4,136
Product/Service Line Item Status,Product/Service Status,PSL.6,559
Product/Service Code,Product/Service Code,PSL.7,879
Product/Service Code Modifier,Product/Service Code Modifier,PSL.8,880
Product/Service Quantity,Quantity Units,PSL.12,560
Product/Service Clarification Code Type,Product/Services Clarification Codes,PSL.17,561
Processing Consideration Code,Processing Consideration Codes,PSL.20,562
Restricted Disclosure Indicator,Expanded Yes/no Indicator,PSL.21,532
Related Product/Service Code Indicator,Product/Service Code,PSL.22,879
Role Executing Physician,Role Executing Physician,PSL.31,881
Medical Role Executing Physician,Medical Role Executing Physician,PSL.32,882
Side of body,Side of body,PSL.33,894
Validation,Yes/no Indicator,PSL.47,136
Adjustment Category,Adjustment Category Code,ADJ.4,564
Adjustment Quantity,Quantity Units,ADJ.6,560
Adjustment Reason PA,Provider Adjustment Reason Code,ADJ.7,565
Adjustment Action,Adjustment Action,ADJ.11,569
Payment Method,Payment Method Code,PMT.4,570
IPR Status,Invoice Processing Results Status,IPR.4,571
Inventory Received Quantity Unit,Package,IIM.9,818
Inventory On Hand Quantity Unit,Package,IIM.13,818
Item Status,Item Status,ITM.3,776
Item Type,Item Type,ITM.4,778
Subject to Expiration Indicator,Expanded Yes/no Indicator,ITM.6,532
Patient Chargeable Indicator,Expanded Yes/no Indicator,ITM.11,532
Transaction Code,Transaction Code,ITM.12,132
Stocked Item Indicator,Expanded Yes/no Indicator,ITM.14,532
Supply Risk Codes,Supply Risk Codes,ITM.15,871
Approving Regulatory Agency,Approving Regulatory Agency,ITM.16,790
Latex Indicator,Expanded Yes/no Indicator,ITM.17,532
Ruling Act,Ruling Act,ITM.18,793
Item Natural Account Code,Item Natural Account Code,ITM.19,320
Taxable Item Indicator,Expanded Yes/no Indicator,ITM.22,532
Freight Charge Indicator,Expanded Yes/no Indicator,ITM.23,532
Item Set Indicator,Expanded Yes/no Indicator,ITM.24,532
Track Department Usage Indicator,Expanded Yes/no Indicator,ITM.26,532
Special Handling Code,Special Handling Code,ITM.29,376
Hazardous Indicator,Expanded Yes/no Indicator,ITM.30,532
Sterile Indicator,Expanded Yes/no Indicator,ITM.31,532
United Nations Standard Products and Services Code,Coding System,ITM.33,396
Field Level Event Code,Record-level Event Code,ITM.38,180
Sterilization Type,Sterilization Type,STZ.1,806
Sterilization Cycle,Cycle Type,STZ.2,702
Maintenance Cycle,Maintenance Cycle,STZ.3,809
Maintenance Type,Maintenance Type,STZ.4,811
Primary Vendor Indicator,Expanded Yes/no Indicator,VND.5,532
Packaging Units,Package,PKG.2,818
Default Order Unit Of Measure Indicator,Expanded Yes/no Indicator,PKG.3,532
Cost Center Account Number,Department Cost Center,PCE.2,319
Transaction Code,Transaction Code,PCE.3,132
Item Status,Item Status Codes,IVT.6,625
Order Packaging,Package,IVT.8,818
Patient Chargeable Indicator,Expanded Yes/no Indicator,IVT.11,532
Transaction Code,Transaction Code,IVT.12,132
Item Importance Code,Item Importance Codes,IVT.14,634
Stocked Item Indicator,Expanded Yes/no Indicator,IVT.15,532
Consignment Item Indicator,Expanded Yes/no Indicator,IVT.16,532
Reusable Item Indicator,Expanded Yes/no Indicator,IVT.17,532
Recommended Reorder Theory,Reorder Theory Codes,IVT.21,642
Operating Room Par Level Indicator,Expanded Yes/no Indicator,IVT.26,532
Inventory Received Quantity Unit,Package,ILT.6,818
Inventory On Hand Quantity Unit,Package,ILT.10,818
Labor Calculation Type,Labor Calculation Type,SCP.2,651
Date Format,Date Format,SCP.3,653
Device Type,Device Type,SCP.7,657
Lot Control,Lot Control,SCP.8,659
Device Data State,Device Data State,SDD.4,667
Load Status,Load Status,SDD.5,669
Device Status,Device Status,SCD.10,682
Abort Cycle,Expanded Yes/no Indicator,SCD.19,532
Alarm,Expanded Yes/no Indicator,SCD.20,532
Long in Charge Phase,Expanded Yes/no Indicator,SCD.21,532
Long in Exhaust Phase,Expanded Yes/no Indicator,SCD.22,532
Long in Fast Exhaust Phase,Expanded Yes/no Indicator,SCD.23,532
Reset,Expanded Yes/no Indicator,SCD.24,532
Door Open,Expanded Yes/no Indicator,SCD.26,532
Reading Failure,Expanded Yes/no Indicator,SCD.27,532
Cycle Type,Cycle Type,SCD.28,702
Attending Doctor,Physician ID,SCD.34,10
Action Code,Segment Action Code,DEV.1,206
Device Type,Device Type,DEV.3,961
Device Status,Device Status,DEV.4,962
Safety Characteristics,Device Safety,DEV.14,963
Implantation Status,"",DEV.17,795
