Table #,V2 Table Type,Name,Description,Concept Domain,Steward WorkGroup,V2 Binding Code,Field Where Used,V2 Codes Table Comment.,Code System Problem?,Table OID,V2 Code System OID,V2 Code System URI,V2 Value Set OID,V2 Value Set URI,V2 Code System Version,version-tbl-introduced,version-csvs-introduced,V2 VS CLD Type
0207,HL7,Processing Mode,HL7-defined table of codes that indicate an archival process or an initial load process.,V2ProcessingMode,inm,Universal (3),PT.2,,,2.16.840.1.113883.12.207,2.16.840.1.113883.18.112,http://terminology.hl7.org/CodeSystem/v2-0207,2.16.840.1.113883.21.124,http://terminology.hl7.org/ValueSet/v2-0207,10,2.3,2.9,1
0208,HL7,Query Response Status,"HL7-defined table of codes defining precise response status concepts in support of HL7 Version 2 query messaging.  It is commonly used to indicate no data is found that matches the query parameters, but no error.",QueryResponseStatus,inm,Universal (3),QAK.2,,,2.16.840.1.113883.12.208,2.16.840.1.113883.18.113,http://terminology.hl7.org/CodeSystem/v2-0208,2.16.840.1.113883.21.125,http://terminology.hl7.org/ValueSet/v2-0208,10,2.3,2.9,1
0209,HL7,Relational Operator,HL7-defined table of codes used to define the relationship between HL7 segment field names identified in a query construct.,V2RelationalOperator,inm,Universal (3),QSC.2,,,2.16.840.1.113883.12.209,2.16.840.1.113883.18.114,http://terminology.hl7.org/CodeSystem/v2-0209,2.16.840.1.113883.21.126,http://terminology.hl7.org/ValueSet/v2-0209,10,2.3,2.9,1
0210,HL7,Relational Conjunction,HL7-defined table of codes used with relational operator values to group more than one segment field name.,RelationalConjunction,inm,Universal (3),QSC.4,,,2.16.840.1.113883.12.210,2.16.840.1.113883.18.115,http://terminology.hl7.org/CodeSystem/v2-0210,2.16.840.1.113883.21.127,http://terminology.hl7.org/ValueSet/v2-0210,10,2.3,2.9,1
0211,HL7,Alternate Character Sets,"Table of codes that identify one of a number of possible standard alternate character sets for a message, either single-byte or double-byte.",AlternateCharacterSets,inm,Universal (3),MSH-18,,,2.16.840.1.113883.12.211,2.16.840.1.113883.18.116,http://terminology.hl7.org/CodeSystem/v2-0211,2.16.840.1.113883.21.128,http://terminology.hl7.org/ValueSet/v2-0211,10,2.3,2.9,1
0212,User,Nationality,"Table of codes that identify the nation or national grouping to which the person belongs.  This information may be different from a person’s citizenship in countries in which multiple nationalities are recognized (for example, Spain: Basque, Catalan, etc.).  No suggested values.",Nationality,,N/A (0),"NK1-27, GT1-43. IN1-41,",,,2.16.840.1.113883.12.212,,,,,10,2.3,2.9,
0213,User,Purge Status Code,Table of codes used to define the state of a visit relative to its place in a purge workflow.,PurgeStatusCode,pa,Example (1),PV2-16,,,2.16.840.1.113883.12.213,2.16.840.1.113883.18.117,http://terminology.hl7.org/CodeSystem/v2-0213,2.16.840.1.113883.21.129,http://terminology.hl7.org/ValueSet/v2-0213,10,2.3,2.9,1
0214,User,Special Program Code,Table of codes used to record a health insurance program required for healthcare visit reimbursement.,SpecialProgramCode,pa,Example (1),PV2-18,,,2.16.840.1.113883.12.214,2.16.840.1.113883.18.118,http://terminology.hl7.org/CodeSystem/v2-0214,2.16.840.1.113883.21.130,http://terminology.hl7.org/ValueSet/v2-0214,10,2.3,2.9,1
0215,User,Publicity Code,Table of codes specifying a level of publicity of information about a patient for a specific visit.,PublicityCode,pa,Example (1),"PV2-21, PD1-11",,,2.16.840.1.113883.12.215,2.16.840.1.113883.18.119,http://terminology.hl7.org/CodeSystem/v2-0215,2.16.840.1.113883.21.131,http://terminology.hl7.org/ValueSet/v2-0215,10,2.3,2.9,1
0216,User,Patient Status Code,Table of codes used to define the state of a care episode for a patient.,PatientStatusCode,pa,Example (1),PV2-24,,,2.16.840.1.113883.12.216,2.16.840.1.113883.18.120,http://terminology.hl7.org/CodeSystem/v2-0216,2.16.840.1.113883.21.132,http://terminology.hl7.org/ValueSet/v2-0216,10,2.3,2.9,1
0217,User,Visit Priority Code,Table of codes used to define a relative level of urgency applied to a patient visit.,VisitPriorityCode,pa,Representative (2),PV2-25,,,2.16.840.1.113883.12.217,2.16.840.1.113883.18.121,http://terminology.hl7.org/CodeSystem/v2-0217,2.16.840.1.113883.21.133,http://terminology.hl7.org/ValueSet/v2-0217,10,2.3,2.9,1
0218,User,Patient Charge Adjustment,"Table of codes used to indicate which adjustments should be made to a guarantor’s charges.  For example, when a hospital agrees to adjust a guarantor’s charges to a sliding scale.  No suggested values.",PatientChargeAdjustment,pa,N/A (0),GT1-26,,,2.16.840.1.113883.12.218,,,,,10,2.3,2.9,
0219,User,Recurring Service Code,Table of codes used to indicate whether a treatment is continuous.  No suggested values.,RecurringServiceCode,pa,N/A (0),PV2-31,,,2.16.840.1.113883.12.219,,,,,10,2.3,2.9,
0220,User,Living Arrangement,Table of codes characterizing the situation that patient-associated parties live in at their residential address.,V2LivingArrangement,pa,Example (1),"NK1-21, PD1-2",,,2.16.840.1.113883.12.220,2.16.840.1.113883.18.122,http://terminology.hl7.org/CodeSystem/v2-0220,2.16.840.1.113883.21.134,http://terminology.hl7.org/ValueSet/v2-0220,10,2.3,2.9,1
0222,User,Contact Reason,"Table of codes used to indicate a reason for contacting a guarantor, for example, to phone a guarantor if payments are late.  No suggested values.",ContactReason,fm,N/A (0),"GT1-47, NK1-29",,,2.16.840.1.113883.12.222,,,,,10,2.3,2.9,
0223,User,Living Dependency,"Table of codes identifying specific living conditions (e.g., spouse dependent on patient, walk-up) that are relevant to an evaluation of the patient's healthcare needs.",LivingDependency,pa,Example (1),"NK1-17, PD1-1",,,2.16.840.1.113883.12.223,2.16.840.1.113883.18.124,http://terminology.hl7.org/CodeSystem/v2-0223,2.16.840.1.113883.21.136,http://terminology.hl7.org/ValueSet/v2-0223,10,2.3,2.9,1
0224,HL7,Transport Arranged,HL7-defined table of codes defining whether patient transportation preparations are in place.,TransportArranged,oo,Universal (3),OBR-41,,,2.16.840.1.113883.12.224,2.16.840.1.113883.18.125,http://terminology.hl7.org/CodeSystem/v2-0224,2.16.840.1.113883.21.137,http://terminology.hl7.org/ValueSet/v2-0224,10,2.3,2.9,1
0225,HL7,Escort Required,HL7-defined table of codes indicating whether a patient must be accompanied while travelling to a diagnostic service department.,EscortRequired,oo,Universal (3),OBR-42,,,2.16.840.1.113883.12.225,2.16.840.1.113883.18.126,http://terminology.hl7.org/CodeSystem/v2-0225,2.16.840.1.113883.21.138,http://terminology.hl7.org/ValueSet/v2-0225,10,2.3,2.9,1
0227,Imported,Manufacturers of Vaccines (code=MVX),"Table of codes specifying the organization that manufactures a vaccine. The values are maintained by the US Centers of Disease Control.  Note that the source of truth for these code values are maintained by the CDC, and the code system may be accessed at URL: https://phinvads.cdc.gov/vads/SearchCodeSystems_search.action?searchOptions.searchText=PH_ManufacturersOfVaccinesMVX_CDC_NIP.  The value set is also maintained by the CDC, and may be accessed at URL: https://phinvads.cdc.gov/vads/SearchValueSets_search.action?searchOptions.searchText=PHVS_ManufacturersOfVaccinesMVX_CDC_NIP",ManufacturersOfVaccines,oo,N/A (0),"RXA-17, RXD-20, RXG-21",,UTG Missing CodeSystem,2.16.840.1.113883.12.227,2.16.840.1.113883.12.227,http://terminology.hl7.org/CodeSystem/v2-0227,2.16.840.1.114222.4.11.826,http://terminology.hl7.org/ValueSet/v2-0227,10,2.3,2.9,1
0228,User,Diagnosis Classification,Table of codes used to classify whether a patient visit can be related to a diagnosis.,DiagnosisClassification,fm,Example (1),DG1-17,,,2.16.840.1.113883.12.228,2.16.840.1.113883.18.128,http://terminology.hl7.org/CodeSystem/v2-0228,2.16.840.1.113883.21.140,http://terminology.hl7.org/ValueSet/v2-0228,10,2.3,2.9,1
0229,User,DRG Payor,Table of codes used to identify a Diagnostic Resource Group Payor.  US Realm.  No suggested values.,DrgPayor,fm,N/A (0),IN3-12,,,2.16.840.1.113883.12.229,,,,,10,2.3,2.9,
0230,User,Procedure Functional Type,Table of codes used to classify a procedure.,ProcedureFunctionalType,fm,Example (1),PR1-6,,,2.16.840.1.113883.12.230,2.16.840.1.113883.18.130,http://terminology.hl7.org/CodeSystem/v2-0230,2.16.840.1.113883.21.142,http://terminology.hl7.org/ValueSet/v2-0230,10,2.3,2.9,1
0231,User,Student Status,Table of codes used to designate whether a guarantor is a full or part time student.,StudentStatus,fm,Representative (2),"GT1-40, NK1-24, PD1-5",,,2.16.840.1.113883.12.231,2.16.840.1.113883.18.131,http://terminology.hl7.org/CodeSystem/v2-0231,2.16.840.1.113883.21.143,http://terminology.hl7.org/ValueSet/v2-0231,10,2.3,2.9,1
0232,User,- Insurance Company Contact Reason,Table of codes used to describe why an insurance company has been contacted.,InsuranceCompanyContactReason,fm,Example (1),IN2-57,,,2.16.840.1.113883.12.232,2.16.840.1.113883.18.132,http://terminology.hl7.org/CodeSystem/v2-0232,2.16.840.1.113883.21.144,http://terminology.hl7.org/ValueSet/v2-0232,10,2.3,2.9,1
0233,User,Non-Concur Code/Description,"Table of codes that specify a non-concur code and description for a denied request, used in insurance claims processing.  No suggested values.",Non-concurCode_Description,,N/A (0),,,,2.16.840.1.113883.12.233,,,,,10,2.3,2.9,
0234,HL7,Report Timing,HL7-defined table of codes used to identify the time span of a report or the reason for a report sent to a regulatory agency.,ReportTiming,oo,Universal (3),PES-11,,,2.16.840.1.113883.12.234,2.16.840.1.113883.18.133,http://terminology.hl7.org/CodeSystem/v2-0234,2.16.840.1.113883.21.145,http://terminology.hl7.org/ValueSet/v2-0234,10,2.3,2.9,1
0235,HL7,Report Source,HL7-defined table of codes used to identify where a report sender learned about an event.,ReportSource,oo,Universal (3),PES-12,,,2.16.840.1.113883.12.235,2.16.840.1.113883.18.134,http://terminology.hl7.org/CodeSystem/v2-0235,2.16.840.1.113883.21.146,http://terminology.hl7.org/ValueSet/v2-0235,10,2.3,2.9,1
0236,HL7,Event Reported To,HL7-defined table of codes used to identify the type of entity to which the event has been reported.,EventReportedTo,oo,Universal (3),PES-13,,,2.16.840.1.113883.12.236,2.16.840.1.113883.18.135,http://terminology.hl7.org/CodeSystem/v2-0236,2.16.840.1.113883.21.147,http://terminology.hl7.org/ValueSet/v2-0236,10,2.3,2.9,1
0237,HL7,Event Qualification,HL7-defined table of codes used to qualify an event related to a product experience.,EventQualification,oo,Universal (3),PEO-8,,,2.16.840.1.113883.12.237,2.16.840.1.113883.18.136,http://terminology.hl7.org/CodeSystem/v2-0237,2.16.840.1.113883.21.148,http://terminology.hl7.org/ValueSet/v2-0237,10,2.3,2.9,1
0238,HL7,Event Seriousness,HL7-defined table of codes used by a sender to designate an event as serious or significant.,EventSeriousness,oo,Universal (3),PEO-9,,,2.16.840.1.113883.12.238,2.16.840.1.113883.18.137,http://terminology.hl7.org/CodeSystem/v2-0238,2.16.840.1.113883.21.149,http://terminology.hl7.org/ValueSet/v2-0238,10,2.3,2.9,1
0239,HL7,Event Expected,HL7-defined table of codes used to communicate whether an event has been judged to be expected or unexpected.,EventExpected,oo,Universal (3),PEO-10,,,2.16.840.1.113883.12.239,2.16.840.1.113883.18.138,http://terminology.hl7.org/CodeSystem/v2-0239,2.16.840.1.113883.21.150,http://terminology.hl7.org/ValueSet/v2-0239,10,2.3,2.9,1
0240,HL7,Event Consequence,HL7-defined table of codes used to describe the impact of an event on a patient.,EventConsequence,oo,Universal (3),PEO-11,,,2.16.840.1.113883.12.240,2.16.840.1.113883.18.139,http://terminology.hl7.org/CodeSystem/v2-0240,2.16.840.1.113883.21.151,http://terminology.hl7.org/ValueSet/v2-0240,10,2.3,2.9,1
0241,HL7,Patient Outcome,HL7-defined table of codes used to describe the overall state of a patient as a result of patient care.,PatientOutcome,oo,Universal (3),PEO-12,,,2.16.840.1.113883.12.241,2.16.840.1.113883.18.140,http://terminology.hl7.org/CodeSystem/v2-0241,2.16.840.1.113883.21.152,http://terminology.hl7.org/ValueSet/v2-0241,10,2.3,2.9,1
0242,HL7,Primary Observer's Qualification,HL7-defined table of codes used to provide a general description of the kind of health care professional who provided the primary observation.,PrimaryObserversQualification,oo,Universal (3),"PEO-22, PEO-23, PCR-19",,,2.16.840.1.113883.12.242,2.16.840.1.113883.18.141,http://terminology.hl7.org/CodeSystem/v2-0242,2.16.840.1.113883.21.153,http://terminology.hl7.org/ValueSet/v2-0242,10,2.3,2.9,1
0243,HL7,Identity May Be Divulged,HL7-defined table of codes used to define whether the primary observer has given permission for their identification information to be provided to a product manufacturer.,IdentityMayBeDivulged,oo,Universal (3),PEO-25,,,2.16.840.1.113883.12.243,2.16.840.1.113883.18.142,http://terminology.hl7.org/CodeSystem/v2-0243,2.16.840.1.113883.21.154,http://terminology.hl7.org/ValueSet/v2-0243,10,2.3,2.9,1
0244,User,Single Use Device,Table of codes that indicate whether a product is designed for a single use.  No suggested values.,SingleUseDevice,oo,N/A (0),PCR-9,,,2.16.840.1.113883.12.244,,,,,10,2.3,2.9,
0245,User,Product Problem,Table of codes used to indicate if a product problem would exist if a product malfunction could lead to death or serious injury.  No suggested values.,ProductProblem,oo,N/A (0),PCR-11,,,2.16.840.1.113883.12.245,,,,,10,2.3,2.9,
0246,User,Product Available for Inspection,Table of codes used to indicate that the product is available for analysis. No suggested values.,ProductAvailableForInspection,oo,N/A (0),PCR-13,,,2.16.840.1.113883.12.246,,,,,10,2.3,2.9,
0247,HL7,Status of Evaluation,HL7-defined table of codes that describes the status of product evaluation.,StatusOfEvaluation,oo,Universal (3),PCR-15,,,2.16.840.1.113883.12.247,2.16.840.1.113883.18.143,http://terminology.hl7.org/CodeSystem/v2-0247,2.16.840.1.113883.21.155,http://terminology.hl7.org/ValueSet/v2-0247,10,2.3,2.9,1
0248,HL7,Product Source,HL7-defined table of codes used to describe the evaluation state of a product identified in an incident.,ProductSource,oo,Universal (3),PCR-17,,,2.16.840.1.113883.12.248,2.16.840.1.113883.18.144,http://terminology.hl7.org/CodeSystem/v2-0248,2.16.840.1.113883.21.156,http://terminology.hl7.org/ValueSet/v2-0248,10,2.3,2.9,1
0249,User,Generic Product,Table of codes used to indicate whether the product used is a generic or a branded product. No suggested values.,GenericProduct,oo,N/A (0),PCR-2,,,2.16.840.1.113883.12.249,,,,,10,2.3,2.9,
0250,HL7,Relatedness Assessment,HL7-defined table of codes used to provide an estimate of whether an issue with a  product was the cause of an event.,RelatednessAssessment,oo,Universal (3),PCR-20,,,2.16.840.1.113883.12.250,2.16.840.1.113883.18.145,http://terminology.hl7.org/CodeSystem/v2-0250,2.16.840.1.113883.21.157,http://terminology.hl7.org/ValueSet/v2-0250,10,2.3,2.9,1
0251,HL7,Action Taken in Response to the Event,HL7-defined table of codes used to define the action taken as a result of an event related to a product issue.,ActionTakenInResponseToTheEvent,oo,Universal (3),PCR-21,,,2.16.840.1.113883.12.251,2.16.840.1.113883.18.146,http://terminology.hl7.org/CodeSystem/v2-0251,2.16.840.1.113883.21.158,http://terminology.hl7.org/ValueSet/v2-0251,10,2.3,2.9,1
0252,HL7,Causality Observations,HL7-defined table of codes used to record event observations regarding what may have caused a product related event.,CausalityObservations,oo,Universal (3),PCR-22,,,2.16.840.1.113883.12.252,2.16.840.1.113883.18.147,http://terminology.hl7.org/CodeSystem/v2-0252,2.16.840.1.113883.21.159,http://terminology.hl7.org/ValueSet/v2-0252,10,2.3,2.9,1
0253,HL7,Indirect Exposure Mechanism,HL7-defined table of codes used to identify the mechanism of product transmission when the product has not been directly applied to the patient.,IndirectExposureMechanism,oo,Universal (3),PCR-23,,,2.16.840.1.113883.12.253,2.16.840.1.113883.18.148,http://terminology.hl7.org/CodeSystem/v2-0253,2.16.840.1.113883.21.160,http://terminology.hl7.org/ValueSet/v2-0253,10,2.3,2.9,1
0254,HL7,Kind of Quantity,"HL7-defined table of codes that describe the underlying kind of property represented by an observation.  The categories distinguish concentrations from total amounts, molar concentrations from mass concentrations, partial pressures from colors, and so forth.  These are discussed more fully in the LOINC Users' Manual.   They are derived from the approach described in 1995 edition of the IUPAC Silver Book.  These distinctions are used in IUPAC and LOINC standard codes.  The distinctions of true quantities in this table are based primarily on dimensional analyses. The table contains a number of ""families,"" those related to simple counts (number, number concentration, etc.), to mass (mass, mass concentration, etc.), to enzyme activity (catalytic content, catalytic concentration, etc.), and molar or equivalents (substance content, substance concentration).",KindOfQuantity,inm,Universal (3),OM1-42,,,2.16.840.1.113883.12.254,2.16.840.1.113883.18.149,http://terminology.hl7.org/CodeSystem/v2-0254,2.16.840.1.113883.21.161,http://terminology.hl7.org/ValueSet/v2-0254,10,2.3,2.9,1
0255,User,Duration Categories,Table of codes used to classify an observation definition as intended to measure a patient's state at a point in time.,DurationCategories,oo,Representative (2),OM1-43,,,2.16.840.1.113883.12.255,2.16.840.1.113883.18.150,http://terminology.hl7.org/CodeSystem/v2-0255,2.16.840.1.113883.21.162,http://terminology.hl7.org/ValueSet/v2-0255,10,2.3,2.9,1
0256,HL7,Time Delay Post Challenge,HL7-defined table of codes used to classify an observation definition as being a component of a challenge test.,TimeDelayPostChallenge,oo,Universal (3),OM1-44,,,2.16.840.1.113883.12.256,2.16.840.1.113883.18.151,http://terminology.hl7.org/CodeSystem/v2-0256,2.16.840.1.113883.21.163,http://terminology.hl7.org/ValueSet/v2-0256,10,2.3,2.9,1
0257,HL7,Nature of Challenge,HL7-defined table of codes used to further describe an observation definition that is characterized as a challenge observation.,NatureOfChallenge,oo,Universal (3),OM1-44,,,2.16.840.1.113883.12.257,2.16.840.1.113883.18.152,http://terminology.hl7.org/CodeSystem/v2-0257,2.16.840.1.113883.21.164,http://terminology.hl7.org/ValueSet/v2-0257,10,2.3,2.9,1
0258,HL7,Relationship Modifier,HL7-defined table of codes used in an observation definition to describe the subject of an observation in relation to a patient.,RelationshipModifier,oo,Universal (3),OM1-45,,,2.16.840.1.113883.12.258,2.16.840.1.113883.18.153,http://terminology.hl7.org/CodeSystem/v2-0258,2.16.840.1.113883.21.165,http://terminology.hl7.org/ValueSet/v2-0258,10,2.3,2.9,1
0259,User,Modality,Table of codes used to define the imaging apparatus expected to be used to acquire an observation.  This table has been removed from the standard as of 2.7 in favor of table 0910.,Modality,oo,Representative (2),OM1-47,,UTG Missing CodeSystem,2.16.840.1.113883.12.259,2.16.840.1.113883.18.154,http://terminology.hl7.org/CodeSystem/v2-0259,2.16.840.1.113883.21.166,http://terminology.hl7.org/ValueSet/v2-0259,10,2.3,2.9,1
0260,User,Patient Location Type,Table of codes used to identify the kind of location described in the location definition.,PatientLocationType,pa,Example (1),LOC-3,,,2.16.840.1.113883.12.260,2.16.840.1.113883.18.155,http://terminology.hl7.org/CodeSystem/v2-0260,2.16.840.1.113883.21.167,http://terminology.hl7.org/ValueSet/v2-0260,10,2.3,2.9,1
0261,User,Location Equipment,Table of codes used to identify the equipment available in a location definition identified as a room or bed.,LocationEquipment,pa,Example (1),LOC-8,,,2.16.840.1.113883.12.261,2.16.840.1.113883.18.156,http://terminology.hl7.org/CodeSystem/v2-0261,2.16.840.1.113883.21.168,http://terminology.hl7.org/ValueSet/v2-0261,10,2.3,2.9,1
0262,User,Privacy Level,Table of codes used to identify the level of privacy a patient will be afforded when assigned to this location definition.,PrivacyLevel,pa,Representative (2),LCH-5,,,2.16.840.1.113883.12.262,2.16.840.1.113883.18.157,http://terminology.hl7.org/CodeSystem/v2-0262,2.16.840.1.113883.21.169,http://terminology.hl7.org/ValueSet/v2-0262,10,2.3,2.9,1
0263,User,Level of Care,Table of codes used to identify the level of care a patient may be afforded when assigned to this location definition.,LevelOfCare,pa,Example (1),LCH-5,,,2.16.840.1.113883.12.263,2.16.840.1.113883.18.158,http://terminology.hl7.org/CodeSystem/v2-0263,2.16.840.1.113883.21.170,http://terminology.hl7.org/ValueSet/v2-0263,10,2.3,2.9,1
0264,User,Location Department,"Table of codes used to specify the institution’s department to which a location belongs, or its cost center.",LocationDepartment,pa,N/A (0),LDP-2,,,2.16.840.1.113883.12.264,,,,,10,2.3,2.9,
0265,User,Specialty Type,Table of codes used to identify the specialty of the care professional who is supported when using this location definition.,SpecialtyType,pa,Example (1),LDP-4,,,2.16.840.1.113883.12.265,2.16.840.1.113883.18.159,http://terminology.hl7.org/CodeSystem/v2-0265,2.16.840.1.113883.21.171,http://terminology.hl7.org/ValueSet/v2-0265,10,2.3,2.9,1
0267,HL7,Days of the Week,HL7-defined table of codes used to identify the day(s) of the week when a location may be scheduled for appointments.,DaysOfTheWeek,pa,Universal (3),"UVC.2, LDP.10 UVC.1",,,2.16.840.1.113883.12.267,2.16.840.1.113883.18.160,http://terminology.hl7.org/CodeSystem/v2-0267,2.16.840.1.113883.21.172,http://terminology.hl7.org/ValueSet/v2-0267,10,2.3,2.9,1
0268,User,Override,Table of codes used to define whether a Charge Description Master description may be overridden or if it must be overridden.,Override,fm,Representative (2),"CDM-5, PRC-13",,,2.16.840.1.113883.12.268,2.16.840.1.113883.18.161,http://terminology.hl7.org/CodeSystem/v2-0268,2.16.840.1.113883.21.173,http://terminology.hl7.org/ValueSet/v2-0268,10,2.3,2.9,1
0269,User,Charge On Indicator,Table of codes used to define the event upon which a charge should be generated.,ChargeOnIndicator,fm,Example (1),PRC-18,,,2.16.840.1.113883.12.269,2.16.840.1.113883.18.162,http://terminology.hl7.org/CodeSystem/v2-0269,2.16.840.1.113883.21.174,http://terminology.hl7.org/ValueSet/v2-0269,10,2.3,2.9,1
0270,User,Document Type,Table of codes used to identify the kind of patient document.,V2DocumentType,sd,Example (1),TXA-2,,,2.16.840.1.113883.12.270,2.16.840.1.113883.18.163,http://terminology.hl7.org/CodeSystem/v2-0270,2.16.840.1.113883.21.175,http://terminology.hl7.org/ValueSet/v2-0270,10,2.3,2.9,1
0271,HL7,Document Completion Status,HL7-defined table of codes used to record the state of a document in a workflow.,DocumentCompletionStatus,sd,Universal (3),TXA-17,,,2.16.840.1.113883.12.271,2.16.840.1.113883.18.164,http://terminology.hl7.org/CodeSystem/v2-0271,2.16.840.1.113883.21.176,http://terminology.hl7.org/ValueSet/v2-0271,10,2.3,2.9,1
0272,HL7,Document Confidentiality Status,HL7-defined table of codes that specify the degree to which special confidentiality protection should be applied to  information.  The assignment of data elements to these categories is left to the discretion of the healthcare organization.,DocumentConfidentialityStatus,sd,Universal (3),TXA-18,,,2.16.840.1.113883.12.272,2.16.840.1.113883.18.166,http://terminology.hl7.org/CodeSystem/v2-0272,2.16.840.1.113883.21.178,http://terminology.hl7.org/ValueSet/v2-0272,10,2.3,2.9,1
0273,HL7,Document Availability Status,HL7-defined table of codes used to define whether a patient document is appropriate or available for use in patient care.,DocumentAvailabilityStatus,sd,Universal (3),TXA-19,,,2.16.840.1.113883.12.273,2.16.840.1.113883.18.167,http://terminology.hl7.org/CodeSystem/v2-0273,2.16.840.1.113883.21.179,http://terminology.hl7.org/ValueSet/v2-0273,10,2.3,2.9,1
0275,HL7,Document Storage Status,HL7-defined table of codes used to describe the availability of a document in relation to the type of storage.,DocumentStorageStatus,sd,Universal (3),TXA-20,,,2.16.840.1.113883.12.275,2.16.840.1.113883.18.168,http://terminology.hl7.org/CodeSystem/v2-0275,2.16.840.1.113883.21.180,http://terminology.hl7.org/ValueSet/v2-0275,10,2.3,2.9,1
0276,User,Appointment reason codes,Table of codes used to describe the kind of appointment or the reason why an appointment has been scheduled.,AppointmentReasonCodes,,Example (1),,,,2.16.840.1.113883.12.276,2.16.840.1.113883.18.169,http://terminology.hl7.org/CodeSystem/v2-0276,2.16.840.1.113883.21.181,http://terminology.hl7.org/ValueSet/v2-0276,10,2.3,2.9,1
0277,User,Appointment Type Codes,Table of codes used in an appointment request to describe the kind of appointment.,AppointmentTypeCodes,,Representative (2),,,,2.16.840.1.113883.12.277,2.16.840.1.113883.18.170,http://terminology.hl7.org/CodeSystem/v2-0277,2.16.840.1.113883.21.182,http://terminology.hl7.org/ValueSet/v2-0277,10,2.3,2.9,1
0278,User,Filler status codes,Table of codes used to describe an appointment status from the perspective of the entity assigned to fulfill the appointment.,FillerStatusCodes,,Representative (2),,,,2.16.840.1.113883.12.278,2.16.840.1.113883.18.171,http://terminology.hl7.org/CodeSystem/v2-0278,2.16.840.1.113883.21.183,http://terminology.hl7.org/ValueSet/v2-0278,10,2.3,2.9,1
0279,User,Allow Substitution Codes,Table of codes used to indicate whether the appointment resource may be substituted for another by the entity assigned to fulfill the appointment.,AllowSubstitutionCodes,,Representative (2),,,,2.16.840.1.113883.12.279,2.16.840.1.113883.18.172,http://terminology.hl7.org/CodeSystem/v2-0279,2.16.840.1.113883.21.184,http://terminology.hl7.org/ValueSet/v2-0279,10,2.3,2.9,1
0280,User,Referral Priority,Table of codes used to designate the urgency of a  referral.,ReferralPriority,oo,Example (1),RF1-2,,,2.16.840.1.113883.12.280,2.16.840.1.113883.18.173,http://terminology.hl7.org/CodeSystem/v2-0280,2.16.840.1.113883.21.185,http://terminology.hl7.org/ValueSet/v2-0280,10,2.3,2.9,1
0281,User,Referral Type,Table of codes used to identify the general category of healthcare professional desired to satisfy a referral.,ReferralType,oo,Example (1),RF1-3,,,2.16.840.1.113883.12.281,2.16.840.1.113883.18.174,http://terminology.hl7.org/CodeSystem/v2-0281,2.16.840.1.113883.21.186,http://terminology.hl7.org/ValueSet/v2-0281,10,2.3,2.9,1
0282,User,Referral Disposition,Table of codes used to identify the expected response from the healthcare professional receiving a referral.,ReferralDisposition,oo,Representative (2),RF1-4,,,2.16.840.1.113883.12.282,2.16.840.1.113883.18.175,http://terminology.hl7.org/CodeSystem/v2-0282,2.16.840.1.113883.21.187,http://terminology.hl7.org/ValueSet/v2-0282,10,2.3,2.9,1
0283,User,Referral Status,Table of codes used to define the state of a  referral.,ReferralStatus,oo,Representative (2),RF1-1,,,2.16.840.1.113883.12.283,2.16.840.1.113883.18.176,http://terminology.hl7.org/CodeSystem/v2-0283,2.16.840.1.113883.21.188,http://terminology.hl7.org/ValueSet/v2-0283,10,2.3,2.9,1
0284,User,Referral Category,Table of codes used to describe the patient care setting where a referral should take place.,ReferralCategory,oo,Representative (2),RF1-5,,,2.16.840.1.113883.12.284,2.16.840.1.113883.18.177,http://terminology.hl7.org/CodeSystem/v2-0284,2.16.840.1.113883.21.189,http://terminology.hl7.org/ValueSet/v2-0284,10,2.3,2.9,1
0285,User,Insurance Company ID Codes,Table of codes specifying the identification of the insurance company or other entity that administers the authorizing coverage plan.  No suggested values.,InsuranceCompanyIdCodes,oo,N/A (0),AUT-2,,,2.16.840.1.113883.12.285,,,,,10,2.3,2.9,
0286,User,Provider Role,Table of codes used to define the relationship between a referral recipient and a patient or between a referral initiator and a patient.,ReferralProviderRole,oo,Representative (2),PRD-1,,,2.16.840.1.113883.12.286,2.16.840.1.113883.18.178,http://terminology.hl7.org/CodeSystem/v2-0286,2.16.840.1.113883.21.190,http://terminology.hl7.org/ValueSet/v2-0286,10,2.3,2.9,1
0287,HL7,Problem/Goal Action Code,HL7-defined table of codes used in Patient Care for the intent of a problem or goal.,Problem_GoalActionCode,pa,Universal (3),"ROL-2, GOL-1, PRB-1, PTH-1",,,2.16.840.1.113883.12.287,2.16.840.1.113883.18.3,http://terminology.hl7.org/CodeSystem/v2-0287,2.16.840.1.113883.21.191,http://terminology.hl7.org/ValueSet/v2-0287,10,2.3,2.9,1
0288,User,Census Tract,Table of codes specifying the census tract in which the specified address resides.  No suggested values.,CensusTract,inm,N/A (0),XAD.109,,,2.16.840.1.113883.12.288,,,,,10,2.3,2.9,
0289,User,County/Parish,Table of codes specifying the county or parish in which the specified address resides.  No suggested values.,County/Parish,inm,N/A (0),"XAD.9, CX.9",,,2.16.840.1.113883.12.289,,,,,10,2.3,2.9,
