"Issue Type","Key","Status","Resolution","Summary","Reporter","Created","Updated","Priority","Assignee","Parent key","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments"
"Change Request","UP-241","Proposal Implemented","Done","Create Value Set HL7-FormatCodes","LisaRNelson","2021-10-07 01:31","2022-04-27 09:33","Medium","LisaRNelson","","","","","","","","","","","","","","","","","","","","","","","","","2021-10-09 06:49;tedhl7geek;Fails technical content check.  Error:
h2. .../input/sourceOfTruth/control-manifests/cda-Rendering.xml Show Validation Information (1)
|*Path*|*Severity*|*Message*|
|*List.entry[12].item (l93/c11)*|*error*|*Unable to resolve resource 'ValueSet/v3-HL7-FormatCodes'*|

 

Suspect you failed to ensure the <id> value is the one used in the manifest.

Returning to Draft for correction.

 ","2021-10-09 06:49;tedhl7geek;History of vositing during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 
Positive Votes:  
Total Votes Cast: 
Super Vote Weight: 
OSG Vote Weight: 
Super Voters: 
OSG Voters: AMS, ahenket, Austin_Kreisler, Brett.Marquard, Brian_Pech, carmela_couderc, cmacumber, FrankOemig, GrahameGrieve, HeatherGrain, jduteau, jfrancis, Josh, Julie, LisaRNelson, pknapp, reuben.daniels, rgeimer, rhausam, rsnelick, Rob_McClure, Rongparker, Sandystu1, sylvia_thun
OSGVoter Family Requirement Met: 
OSGVoter International Requirement Met: 
OSGVoter Requirement Met: 
OSGVoter Vocabulary Requirement Met: 
Positve Voters: 
Negative Voters: ","2021-10-09 06:49;tedhl7geek;Failed technical content check.","2021-10-11 02:35;jsnell;[~LisaRNelson] and [~marc.duteau], just wanted to point out that this proposal needs one revision based on the error Ted pasted above.

If you'd like to get this into the next published release of THO (which should be in the next couple of weeks), the error will need to be resolved and the proposal will need to go through the Consensus Review process ASAP. If it does not make the release deadline, it will be implemented in the continuous integration build. Let me know if you have any questions. ","2021-10-13 09:10;marc.duteau;Here is the newest commit: https://bitbucket.hl7.org/projects/UTG/repos/utg/commits/bdeae60b0c67d363e25d7c05f6becda81f142135","2021-10-13 04:03;tedhl7geek;**Did the build with IGP 1.1.82, and I have a question - *[~marc.duteau]* did you validate with a build?    A new error of an invalid syntax for the <id> element that did not exist in the previous commit just surfaced:
h2. input/sourceOfTruth/v3/valueSets/v3-HL7FormatCodes.xml Show Validation Information (1)
|*Path*|*Severity*|*Message*|
|*ValueSet.where(url = 'http://terminology.hl7.org/ValueSet/hl7-formatcodes')*|*error*|*Conformance resource /Users/tedklein/Documents/tedhl7/vocabulary/Projects/UTG/gitImages/in-flight/UP-241/input/sourceOfTruth/v3/valueSets/v3-HL7FormatCodes.xml - the canonical URL (http://terminology.hl7.org/ValueSet/v3-HL7FormatCodes) does not match the URL (http://terminology.hl7.org/ValueSet/hl7-formatcodes)*|
|*ValueSet.url*|*error*|*Resource id/url mismatch: v3-HL7FormatCodes/http://terminology.hl7.org/ValueSet/hl7-formatcodes*|
|*ValueSet*|*warning*|*vsd-0: 'Name should be usable as an identifier for the module by machine processing applications such as code generation' Rule 'Name should be usable as an identifier for the module by machine processing applications such as code generation' Failed*|
|*ValueSet.compose[0].include[2].concept[0]*|*warning*|*The code 1.2.840.10008.5.1.4.1.1.88.59 is not valid in the system http://dicom.nema.org/resources/ontology/DCM*|
|*ValueSet.where(id = 'v3-HL7FormatCodes')*|*warning*|*Error from server: Unable to provide support for code system http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode*|
|*input/sourceOfTruth/v3/valueSets/v3-HL7FormatCodes*|*error*|*URL Mismatch http://terminology.hl7.org/ValueSet/v3-HL7FormatCodes vs http://terminology.hl7.org/ValueSet/hl7-formatcodes*|

One of the peculiar FHIR rules is that for anything that is not external (outside of HL7), the suffix of the <url> value must match the <id>.   It appeared that you violated this rule.

They syntax restriction on the characters that can be in the <id> is documented here: [https://confluence.hl7.org/pages/viewpage.action?pageId=91995515#SpecifyingtheDetailsInsidetheProposal-CodeSystemMetadata] ","2021-10-13 04:04;tedhl7geek;[~marc.duteau] [~LisaRNelson] Sorry returning to Draft so Marc can try again to fix it.","2021-10-14 10:18;marc.duteau;And that's one of the peculiar FHIR rules that I'm definitely aware of... You'd think I'd remember that.

Since I made such a simple change I didn't think to validate it this time. And of course this is the time that despite it being a simple change I screwed it up...","2021-10-14 10:18;marc.duteau;And here's the even newer commit. https://bitbucket.hl7.org/projects/UTG/repos/utg/commits/3dd4c1a750e654b5c75f51f40d3ea473d835ecea","2021-10-19 06:33;tedhl7geek;[~marc.duteau] we need to speak briefly on this one;some assumptions we all made appear to be incorrect.    Once you understand, then we need to go over them with [~LisaRNelson] - before the late afternoon meeting today if at all possible.","2021-10-21 03:48;tedhl7geek;ending back to Draft to add CodeSystem resource...see email...

 ","2021-10-21 03:49;tedhl7geek;History of vositing during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 
Positive Votes:  
Total Votes Cast: 
Super Vote Weight: 
OSG Vote Weight: 
Super Voters: 
OSG Voters: 
OSGVoter Family Requirement Met: 
OSGVoter International Requirement Met: 
OSGVoter Requirement Met: 
OSGVoter Vocabulary Requirement Met: 
Positve Voters: 
Negative Voters: ","2021-10-21 03:49;tedhl7geek;make changes as per separate email to Marc and Lisa","2021-10-22 12:35;marc.duteau;Current latest version: [https://bitbucket.hl7.org/projects/UTG/repos/utg/commits/a7e82e78c027338ee54fb0adf8de84d31b7dd5a0]


I've kept the comments that [~tedhl7geek] added to the file.","2021-10-22 12:36;marc.duteau;The scope of this ticket has expanded to include adding the HL7 Document Format Codes code system into THO.","2021-10-22 03:30;tedhl7geek;Last I heard from [~GrahameGrieve] he had the IHE format codes access in builds figured out and was working on implementing the solution.  I'll build this to check for errors but he may have it done by the beginning of next week so we can remove the commented out bits of the value set and the entire thing will expand properly.  Hopefully.","2021-10-27 12:08;tedhl7geek;OK Grahame got it working properly and the value set is fully defined and expanding properly. I'll move this to Consensus Review for you [~marc.duteau]","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-240","Environment Setup","","Unify and Update MVX Entries","jsnell","2021-10-07 10:16","2021-10-07 10:16","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-239","Proposal Implemented","Done","Unify and Update CVX per HTA","jsnell","2021-10-04 03:12","2022-08-26 01:01","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=79514595","","","","","","","","","","","","","","","","","","","","","","","2021-10-05 02:55;tedhl7geek;I will assume that this one has some of the same issues as the one for R&E; returning to Draft so you can fix this as well (but did not yet run the validaation local build)","2021-10-05 03:06;jsnell;[~tedhl7geek], I double-checked and no additional changes are needed. There were no id changes in this one so not as many issues as a result. ","2021-10-06 08:08;jsnell;Pulling back to ensure that retired entry links to the HTA-endorsed metadata page.","2021-10-20 09:06;cmacumber;[~jsnell] can you tell us what you need to proceed on this one?","2021-10-20 09:14;jsnell;[~cmacumber], we just need the final stamp of approval from HTA.

CC [~reuben.daniels]

 ","2021-10-20 01:51;reuben.daniels;The HTA reviewed on Wednesday, 20 October 2021 and approve this ticket.","2021-10-22 03:15;tedhl7geek;The v2 tables in the ci build is at [https://build.fhir.org/ig/HL7/UTG/CodeSystem-v2-tables.html] 

 ","2022-08-25 11:46;FrankOemig;This refers to an external codesystem, although the OID is not set correctly. Therefore, it is in principle only a vocabulary domain,","2022-08-25 01:59;tedhl7geek;No.   The OID value is declared by CDC and although we have told them for years they are using an incorrect value they insist on using it.  Therefore since it is a vocabulary owned by them, with all metadata just an HL7 copy of what they have declared as truth, we have to go with it.  It is a real code system, available in PHINVADS at CDC.","2022-08-26 01:01;FrankOemig;However, the OIDs in the db are not in the normal ""line"" for our usual tables. So what are the correct OIDs?","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-238","Proposal Implemented","Done","Update Preferred URI for HcDIN","jsnell","2021-10-04 12:03","2022-04-27 09:32","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","2021-10-05 08:02;tedhl7geek;[~jsnell]and [~lloyd] please verify this is correct.  Changing the URI breaks the old history files; I will fix them and implement if the resource URI changes look good.","2021-10-05 08:58;lloyd;Only issue is the date range on the identifier in the NamingSystem.  This URL has been in and official publication since the 2016-08-11 release.  My general leaning is to drop the date range entirely.","2021-10-07 07:48;jsnell;[~lloyd], we dropped the date range and are implementing this in the CI build. Thanks for reviewing.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-237","Proposal Implemented","Done","Unify and Update CDC Race and Ethnicity (CDCREC) Entries","jsnell","2021-09-24 01:33","2022-04-27 09:33","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=79514595","","","","","","","","","","","","","","","","","","","","","","","2021-09-29 07:40;jsnell;Ted, please check the changes I committed to the V2 manifests. We didn't discuss these but I think the changes are needed. ","2021-10-05 02:51;tedhl7geek;5 errors introduced:

2 in techids - other rendering manifest

2 in v3-publishing manifest

1 in the naming system - <copyright> not an element of an NS, only CS

returning to Draft for revision","2021-10-05 03:02;jsnell;[~tedhl7geek], these issues have been fixed and committed. Re-submitting the ticket. ","2021-10-18 10:28;jsnell;[~tedhl7geek], I noticed that the Published Example does not have the CDCREC naming system (code system identifier). Was the published example updated or do we have another issue?","2021-10-18 02:33;tedhl7geek;if it was part of the branch you pushed to Bitbucket it should be in there...please check it in BitBucket...","2021-10-19 12:26;jsnell;[~tedhl7geek], this was my fault. I needed to add the entry to the techids-Rendering.xml. Pulling back and resubmitting.","2021-10-19 12:26;jsnell;History of vositing during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 
Positive Votes:  
Total Votes Cast: 
Super Vote Weight: 
OSG Vote Weight: 
Super Voters: 
OSG Voters: AMS, ahenket, Austin_Kreisler, Brett.Marquard, Brian_Pech, carmela_couderc, cmacumber, FrankOemig, GrahameGrieve, HeatherGrain, jduteau, jfrancis, Josh, Julie, LisaRNelson, pknapp, reuben.daniels, rgeimer, rhausam, rsnelick, Rob_McClure, Rongparker, Sandystu1, sylvia_thun
OSGVoter Family Requirement Met: 
OSGVoter International Requirement Met: 
OSGVoter Requirement Met: 
OSGVoter Vocabulary Requirement Met: 
Positve Voters: 
Negative Voters: ","2021-10-20 09:15;jsnell;[~cmacumber], this one also just needs the final stamp of approval from HTA.

CC [~reuben.daniels]

 ","2021-10-20 09:29;cmacumber;Adding it to HTA agenda for 10/20","2021-10-20 01:35;reuben.daniels;The HTA reviewed this on 20 October 2021 and approve.","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-236","Environment Setup","","Move media type from metadata tab to code system (fragment) tab","Rob_McClure","2021-09-22 12:40","2021-09-22 12:40","Medium","Rob_McClure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-235","Waiting for Input","","SecurityRoleType Code System page is missing the Title.","j_harper","2021-09-21 10:21","2021-10-04 07:06","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","2021-09-21 10:21;j_harper;!image-2021-09-21-12-21-21-044.png!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-234","Waiting for Input","","ClaimPayeeTypeCodes Code System THO page is missing the Title","j_harper","2021-09-21 10:17","2021-09-21 10:23","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","2021-09-21 10:18;j_harper;!image-2021-09-21-12-18-53-327.png!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-233","Waiting for Input","","Two Code Systems with the same name but different canonicals","j_harper","2021-09-21 10:14","2021-09-21 10:23","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-232","Proposal Draft","","Add Identifier Types to existing value set","marti_velezis","2021-09-16 08:33","2022-08-25 11:48","Medium","marti_velezis","","https://confluence.hl7.org/pages/viewpage.action?pageId=79499945","https://confluence.hl7.org/pages/viewpage.action?pageId=79507105","https://confluence.hl7.org/pages/viewpage.action?pageId=79510332","","","","","","","","","","","","","","","","","","","","","2021-10-12 02:32;marti_velezis;See proposed disposition of FHIR-31750.","2022-08-25 11:48;FrankOemig;Does this also affect table 0203? UDI is there, but the others are not.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-231","Environment Setup","","Addition of FHIR StructureDefinition (profiles and extensions), CodeSystem and ValueSet resources to support migration of HTA-managed External Terminology Confluence Pages to THO","reuben.daniels","2021-09-12 12:28","2021-09-12 12:28","Medium","reuben.daniels","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-230","Withdrawn","Duplicate","Unify and Update CDC Race and Ethnicity (CDCREC) Entries  ","jsnell","2021-09-09 07:41","2021-09-28 01:56","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","2021-09-09 08:28;jsnell;FYI [~carmela_couderc], [~cmacumber], [~reuben.daniels]","2021-09-09 01:52;jsnell;[~tedhl7geek], I made all of the changes discussed (*wipes brow* this was the most challenging one yet!). Let's plan to take a look at the diffs together before committing them and running the build to check for issues and submitting. 

I would like to discuss if we want any changes to the v2-0005 value set together to see if we want to make any name, title, description, etc. changes based on retiring the v2-0005 code system. ","2021-09-24 01:34;jsnell;Too many changes to deal with after the major layout change in THO. Please see UP-237.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-229","Withdrawn","Duplicate","Unify and Update CDC Race and Ethnicity (CDCREC) Entries  ","jsnell","2021-09-09 07:40","2021-09-09 07:42","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","2021-09-09 07:42;jsnell;Mistakenly created a Change Request instead of a Technical Correction. See UP-230. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-228","Environment Setup","","Update THO for MVX","mmalai","2021-09-07 03:33","2021-09-07 03:35","Medium","mmalai","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-226","Proposal Implemented","Done","Add text messaging to ParticipationMode","j_harper","2021-08-10 08:24","2022-04-27 09:30","Medium","j_harper","","","","","","","","","","","","","","","","","","","","","","","","","2021-08-11 09:14;j_harper;Adding values for messaging to v3-ParticipationMode","2021-08-12 03:25;tedhl7geek;Please note Submitter did not include the list of changed object for this Change Request.  The Bitbucket commit log shows the code system v3-participationmode.   [~j_harper] please put in a comment with the link to the changed object so that reviewers can easily navigate to it so examine the changes.  The link in the proposal description is to a value set, but the description indicates a change to the code system content.  Please clarify.","2021-08-12 03:38;j_harper;changed the link in the proposal description to point to the Code System.

I do not know where to find a link to the updated Code System that would include the changes that have been made.","2021-08-17 02:11;j_harper; 

Here is the canonical URL of the code system in question.

http://terminology.hl7.org/CodeSystem/v3-ParticipationMode","2021-08-17 03:29;tedhl7geek;Note, as per Note 4 on version updating when updates to code system content is done, adding new concept code to this code system qualifies as a Major number update.  Therefore the version ID of the code system must be 3.0.0 rather than 2.1.0;  see page at [https://confluence.hl7.org/display/VOC/Documented+Execution+of+UTG+Versioning] and the notes under the table, specifically Note 4.

 ","2021-08-18 07:31;j_harper;I have updated the version to 3.0.0","2021-08-19 10:50;j_harper;History of vositing during previous consensus-review cycle: 

Vote Casters: Joan Harper
Required Votes: 15
Positive Votes: 1 
Total Votes Cast: 1
Super Vote Weight: 3
OSG Vote Weight: 2
Super Voters: lloyd, tedhl7geek
OSG Voters: AMS, ahenket, Austin_Kreisler, Brett.Marquard, Brian_Pech, carmela_couderc, cmacumber, FrankOemig, GrahameGrieve, HeatherGrain, jduteau, jfrancis, Josh, Julie, LisaRNelson, pknapp, reuben.daniels, rgeimer, rhausam, rsnelick, Rob_McClure, Rongparker, Sandystu1, sylvia_thun
OSGVoter Family Requirement Met: No
OSGVoter International Requirement Met: No
OSGVoter Requirement Met: No
OSGVoter Vocabulary Requirement Met: No
Positve Voters: Joan Harper
Negative Voters: ","2021-08-19 10:52;j_harper;Version changed to 3.0.0","2021-08-19 10:53;j_harper;[~tedhl7geek] I have made the update to the version and resubmitted the ticket.

Please update so that voting can restart.","2021-08-24 03:50;carmela_couderc;Should 

the new codes for SMSWRIT, MMSWRIT and APPWRIT be sub-types of ONLINEWRIT? The MSGWRIT (level 2) might not be necessary. 

 ","2021-08-25 07:09;fflores;Hi [~carmela_couderc]. We need a code that serves as a roll-up for all types of Messaging (regardless of whether it is SMS, MMS, and App-based) hence the request to have MSGWRIT. I don't believe we can use ONLINEWRIT for our use case as it is also the parent of EMAILWRIT. Hope this helps clarify.

Thanks.","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-225","Withdrawn","Duplicate","Update CVX per HTA","jsnell","2021-08-03 12:23","2021-10-04 03:13","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","2021-10-04 03:13;jsnell;Needed to start fresh following major build changes.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-223","Change Not Needed","","Put CPT codes in THO","david.pyke","2021-07-29 06:47","2021-10-04 11:10","Medium","david.pyke","","https://confluence.hl7.org/pages/viewpage.action?pageId=79500963","","","","","","","","","","","","","","","","","","","","","","","2021-07-29 12:34;tedhl7geek;Well then...perhaps the Submitter will have better luck than the Vocabulary WG did in years of wrangling with the AMA lawyers to get permission for republishing of the codes without paying them large annual fees.   Good luck that, David.","2021-07-30 06:06;david.pyke;Nobody thinks this will ever happen.  This can be withdrawn","2021-10-04 11:10;jsnell;I closed the ticket. Thank you.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-222","Environment Setup","","Add codes for HSLOC instead of placeholder","david.pyke","2021-07-29 05:54","2021-09-20 03:17","Medium","david.pyke","","https://confluence.hl7.org/pages/viewpage.action?pageId=79500963","","","","","","","","","","","","","","","","","","","","","","","2021-07-30 06:02;david.pyke;Apparently, the HSLOC codes are in VSAC, waiting for a bugfix for UTG to have them in THO","2021-07-30 06:05;david.pyke;This change is not needed, the codes are already staged, just waiting for a UTG update","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-219","Proposal Implemented","Done","CLONE - Create Present On Admission Indicators Value Set ","marc.duteau","2021-07-16 03:24","2022-04-27 09:31","Medium","marc.duteau","","https://confluence.hl7.org/pages/viewpage.action?pageId=120752017","https://confluence.hl7.org/pages/viewpage.action?pageId=120755298","https://confluence.hl7.org/pages/viewpage.action?pageId=120756770","https://confluence.hl7.org/pages/viewpage.action?pageId=120756920","https://confluence.hl7.org/pages/viewpage.action?pageId=123242163","https://confluence.hl7.org/pages/viewpage.action?pageId=77365384","https://confluence.hl7.org/pages/viewpage.action?pageId=77366727","https://confluence.hl7.org/pages/viewpage.action?pageId=77367306","https://confluence.hl7.org/pages/viewpage.action?pageId=77367408","https://confluence.hl7.org/pages/viewpage.action?pageId=77367918","https://confluence.hl7.org/pages/viewpage.action?pageId=79496905","https://confluence.hl7.org/pages/viewpage.action?pageId=79496922","https://confluence.hl7.org/pages/viewpage.action?pageId=79504155","https://confluence.hl7.org/pages/viewpage.action?pageId=79507132","","","","","","","","","","2021-07-29 06:53;mitrep9g;I see https://build.fhir.org/ig/HL7/UTG/branches/UP-219-clone-create-present-on-admission-indicators-value-set/ValueSet-POAIndicators.html
with defining URL http://terminology.hl7.org/ValueSet/POAIndicators

If that defining URL is stable, perhaps we can use that in the QI-Core update (to be circulated for WG review soon and non-ballot update)?","2021-07-29 07:10;rhausam;What exactly is the rationale for not following the practice that has been defined in the code system of using the code '1' to make an explicit declaration of ""Unreported/Not used"", and instead exclude that code from the value set and omit the element in those cases?","2021-07-29 07:38;mitrep9g;See https://confluence.hl7.org/pages/viewpage.action?pageId=116465844
Also, we wanted a required binding in http://build.fhir.org/ig/HL7/fhir-qi-core/StructureDefinition-qicore-encounter-diagnosisPresentOnAdmission.html (but not to an ""example"" value set and code system.)

We also plan to relax the cardinality of http://build.fhir.org/ig/HL7/fhir-qi-core/StructureDefinition-qicore-encounter-definitions.html#Encounter.diagnosis.extension:diagnosisPresentOnAdmission to 0..1; making it mandatory (1..1) would have forced ambulatory providers to modify their system (and we would need the ""1"" because ""admission"" is not applicable to them.)  Since it will be optional (change pending) we are not forcing ambulatory providers to add that.  Rather than use ""1"", they simply omit the extension.","2021-08-05 03:14;rhausam;Thanks, Paul.  Unfortunately, when I read through this further explanation (which I've done a few times now) I think it probably makes it maybe even somewhat less clear than it was before - or at least it doesn't seem (to me) to really answer my question.  I still would like to know why it would be preferred to make the element optional and exclude the '1' code from the value set, rather than just using the '1' code as it's provided and made explicit in the code system.","2021-08-05 04:07;mitrep9g;Providers (ambulatory, outpatient) do not have a concept for admission, and their systems do not have anything to assign a ""1"" code or to populate a POA extension in any way. So, if we kept cardinality 1.. and included ""1"" in the valueset (since that would be the only code that makes sense for them), we would be forcing them to make changes to their systems for no good reason.

We changed cardinality to 0.. so we do not force these providers to change their systems; they simply do not add the POA extension.

As I understand it, ""1"" is to be used only on paper forms, so we do not want to allow it in the valueset.

For hospitals or places that do have the concept of admission, we would want them to populate the POA extension, and we do not want them to use ""1""; one of the other codes in that code system should apply.  So we exclude ""1"" from the value set.  

We will probably need to figure out a way to express that the POA extension is mandatory for hospitals and places that have admission, but that will be another issue.  Today for QRDA, there is the HL7 spec, but then CMS publishes its own IG which adds some additional constraints.  We have not gotten to the point where we need a CMS IG on top of a FHIR IG.  For example, a CMS FHIR IG for the IQR program could reference/build on QI-Core and make the cardinality for the POA extension 1...  Maybe there is an invariant that could be added to the HL7 QI-Core IG to express in which cases the POA extension is mandatory, but that will need more work to figure out, and it should not influence this UTG issue.","2021-08-27 02:09;rhausam;I still don't find this explanation and rationale entirely convincing as to why this is the best approach to take.  But any remaining questions/issues that I still have aren't a showstopper for me. ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-218","Proposal Implemented","Done","Update MeSH per HTA","jsnell","2021-07-13 12:51","2022-04-27 09:33","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=79514595","","","","","","","","","","","","","","","","","","","","","","","2021-10-20 09:06;cmacumber;[~jsnell] any issues on proceeding with this one?","2021-10-20 09:14;jsnell;[~cmacumber], we just need the final stamp of approval from HTA.

CC [~reuben.daniels]

 ","2021-10-20 01:46;reuben.daniels;The HTA reviewed this on 20 October 2021 and approve.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-217","Environment Setup","","Add ""sender-application"" to http://terminology.hl7.org/CodeSystem/provenance-participant-type","hbuitendijk","2021-07-07 09:43","2021-07-07 09:59","Medium","hbuitendijk","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-07 09:59;john_moehrke;I might recognize this as a good CR if I understood it better. Can you provide a distinct definition for this new code? Specifically how is it needed to indicate a Provenance.agent that has no impact upon the target except to have carried the bits? If this is what you are referring to, then what is to distinguish this from all of the IP routers in the path, or telephone polls?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-216","Environment Setup","","NDC-11, help with creating guidance for IGs","mkmcdaniel","2021-07-06 11:03","2022-02-15 09:49","Medium","mkmcdaniel","","https://confluence.hl7.org/pages/viewpage.action?pageId=116463595","https://confluence.hl7.org/pages/viewpage.action?pageId=118981569","https://confluence.hl7.org/pages/viewpage.action?pageId=120752313","https://confluence.hl7.org/pages/viewpage.action?pageId=120757099","https://confluence.hl7.org/pages/viewpage.action?pageId=77365591","https://confluence.hl7.org/pages/viewpage.action?pageId=77367996","https://confluence.hl7.org/pages/viewpage.action?pageId=77369240","https://confluence.hl7.org/pages/viewpage.action?pageId=79503629","https://confluence.hl7.org/pages/viewpage.action?pageId=79511065","https://confluence.hl7.org/pages/viewpage.action?pageId=79513704","https://confluence.hl7.org/pages/viewpage.action?pageId=79515615","https://confluence.hl7.org/pages/viewpage.action?pageId=81003465","https://confluence.hl7.org/pages/viewpage.action?pageId=81003507","https://confluence.hl7.org/pages/viewpage.action?pageId=81005729","https://confluence.hl7.org/pages/viewpage.action?pageId=81008811","https://confluence.hl7.org/pages/viewpage.action?pageId=81009556","https://confluence.hl7.org/pages/viewpage.action?pageId=81013815","https://confluence.hl7.org/pages/viewpage.action?pageId=81017270","https://confluence.hl7.org/pages/viewpage.action?pageId=81019171","https://confluence.hl7.org/pages/viewpage.action?pageId=81022144","https://confluence.hl7.org/pages/viewpage.action?pageId=81026736","https://confluence.hl7.org/pages/viewpage.action?pageId=81034511","https://confluence.hl7.org/pages/viewpage.action?pageId=90347059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-215","Proposal Implemented","Done","Add IMO per HTA","jsnell","2021-06-25 09:13","2022-04-27 09:30","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-01 02:42;jsnell;[~aphillips_imo], this is now submitted. You may want to add yourself as a watcher of this ticket on the top-right ""People"" area to follow the progress.","2021-07-19 01:10;aphillips_imo;Hi Jess, Looks great - can you please push to the current build?  ","2021-07-19 01:23;jsnell;[~aphillips_imo], glad to hear it. Yes, I just sent it for implementation so it should be in the current build this week. You can follow the progress on this ticket.","2021-07-26 02:23;tedhl7geek;[~aphillips_imo], glad to hear it. Yes, I just sent it for implementation so it should be in the current build this week. You can follow the progress on this ticket.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-214","Proposal Implemented","Done","Adding codes the CMS Present on Admission (POA) Indicator code system stub","marc.duteau","2021-06-24 10:50","2022-04-27 09:31","Medium","marc.duteau","","https://confluence.hl7.org/pages/viewpage.action?pageId=79496905","","","","","","","","","","","","","","","","","","","","","","","2021-09-16 09:13;tedhl7geek;Had to manually get around the Jira workflow bug on the family requirements for realm specific proposals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
