Ch2c Table,Ch2c Concept Domain Info - Name,Ch2c Concept Domain Info - Symbolic Name,Ch2c Concept Domain Info - Description,Ch2c Concept Domain Info - Cd Only,Ch2c Cs Info - Oid,Ch2c Cs Info - Symbolic Name,Ch2c Cs Info - Description,Ch2c Cs Info - Full Name,Ch2c Cs Info - Utg Url,Ch2c Cs Info - Utg Name,Ch2c Cs Info - Table Oid,Ch2c Cs Info - Version Info,Ch2c Cs Info - Web Url,Ch2c Cs Info - Comments,Ch2c Cs Version Info - Effective Date,Ch2c Cs Version Info - Version,Ch2c Cs Version Info - Version Introduced,Ch2c Vs Version Info - Oid,Ch2c Vs Version Info - Symbolic Name,Ch2c Vs Version Info - Description,Ch2c Vs Version Info - Full Name,Ch2c Vs Version Info - Utg Url,Ch2c Vs Version Info - Cld,Ch2c Vs Version Info - Web Url,Ch2c Vs Version Info - Utg Name,Ch2c Vs Version Info - Utg Title,Ch2c Vs Version Info - Comments,Ch2c Binding Info - Realm,Ch2c Metadata - Table,Ch2c Metadata - Table Oid,Ch2c Metadata - Symbolic Name,Ch2c Metadata - Description,Ch2c Metadata - Type,Ch2c Metadata - Steward,Ch2c Metadata - Where Used,Ch2c Metadata - Version Introduced,Ch2c Metadata - Full Name,Ch2c Metadata - Utg Url
0181 -- MFN Record-level Error Return,DOM: 181,MfnRecord-levelErrorReturn,"The domain of possible values for the status of the requested
update. Site-defined table, specific to each master file being updated
via this transaction.",false,2.16.840.1.113883.18.96,mfnRecord-levelErrorReturn,"Code system of concepts specifying the status of the requested
update. Site-defined table, specific to each master file being updated
via this transaction. Used in HL7 Version 2.x messaging in the MFA
segment.",MFN Record-level Error Return Code System,http://terminology.hl7.org/CodeSystem/v2-0181,,,,,,01.12.1994,1,2.2,2.16.840.1.113883.21.108,hl7VS-mfnRecode-levelErrorReturn,"Concepts which code status values for requested master file record
update operations.",MFN Record-level Error Return Value Set,http://terminology.hl7.org/ValueSet/v2-0181,all codes,,,,,representative,0181,2.16.840.1.113883.12.181,MFN Record-level Error Return,"Table of codes specifying the status of the requested update.
Site-defined table, specific to each master file being updated via this
transaction.",User,InM,MFA-4,2.2,,
0182 -- Staff type,DOM: 182,StaffType,"The domain of possible values for the staff person's sex. No
suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0182,2.16.840.1.113883.12.182,Staff type,"Table of codes specifying the staff person's sex. No suggested
values.",User,PA,STF-4,2.2,,
0183 -- Active/Inactive,DOM: 183,Active/Inactive,"The domain of possible values for whether a person is currently a
valid staff member.",false,2.16.840.1.113883.18.97,active-inactive,"HL7-defined code system of concepts specifying whether a person is
currently a valid staff member. Used in HL7 Version 2.x messaging in the
STF segment.",Active/Inactive Code System,http://terminology.hl7.org/CodeSystem/v2-0183,,,,,,01.12.1994,1,2.2,2.16.840.1.113883.21.109,hl7VS-active-inactive,"Value Set of codes that specify whether a person is currently a
valid staff member.",Active/Inactive Value Set,http://terminology.hl7.org/ValueSet/v2-0183,all codes,,,,,universal,0183,2.16.840.1.113883.12.183,Active/Inactive,"HL7-defined table of codes specifying whether a person is currently
a valid staff member.",HL7,PA,STF-7,2.2,,
0184 -- Department,DOM: 184,Department,"The domain of possible values for the institution department to
which this person reports or belongs. No suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0184,2.16.840.1.113883.12.184,Department,"Table of codes specifying the institution department to which this
person reports or belongs. No suggested values.",User,PA,STF-8,2.2,,
0185 -- Preferred Method of Contact,DOM: 185,PreferredMethodOfContact,"The domain of possible values for which of a group of multiple phone
numbers is the preferred method of contact for this person.",false,2.16.840.1.113883.18.98,preferredMethodOfContact,"HL7-defined code system of concepts specifying which of a group of
multiple phone numbers is the preferred method of contact for this
person. Used in HL7 Version 2.x messaging in the STF, PRD, and CTD
segments.",Preferred Method of Contact Code System,http://terminology.hl7.org/CodeSystem/v2-0185,,,,,,01.12.1994,1,2.2,2.16.840.1.113883.21.110,hl7VS-preferredMethodOfContrct,"Value Set of codes that specify which of a group of multiple phone
numbers is the preferred method of contact for this person.",Preferred Method of Contact Value Set,http://terminology.hl7.org/ValueSet/v2-0185,all codes,,,,,universal,0185,2.16.840.1.113883.12.185,Preferred Method of Contact,"HL7-defined table of codes specifying which of a group of multiple
phone numbers is the preferred method of contact for this person.",HL7,PA,"STF-16, PRD-6, PRD-14, CTD-6",2.2,,
0186 -- Practitioner Category,DOM: 186,PractitionerCategory,"The domain of possible values for the category of practitioner. No
suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0186,2.16.840.1.113883.12.186,Practitioner Category,"Table of codes specifying the category of practitioner. No suggested
values.",User,PA,PRA-3,2.2,,
0187 -- Provider Billing,DOM: 187,ProviderBilling,"The domain of possible values for how provider services are
billed.",false,2.16.840.1.113883.18.99,providerBilling,"HL7-defined code system of concepts specifying how provider services
are billed. Used in HL7 Version 2.x messaging in the PRA segment.",Provider Billing Code System,http://terminology.hl7.org/CodeSystem/v2-0187,,,,,,01.12.1994,1,2.2,2.16.840.1.113883.21.111,hl7VS-providerBilling,"Value Set of codes that specify how provider services are
billed.",Provider Billing Value Set,http://terminology.hl7.org/ValueSet/v2-0187,all codes,,,,,universal,0187,2.16.840.1.113883.12.187,Provider Billing,"HL7-defined table of codes specifying how provider services are
billed.",HL7,PA,PRA-4,2.2,,
0188 -- Operator ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0188,2.16.840.1.113883.12.188,Operator ID,"Table of codes specifying the individual responsible for triggering
the event. No suggested values.",User,PA,EVN-5,2.2,,
0189 -- Ethnic Group,DOM: 189,EthnicGroup,"The domain of possible values further defining a patient's ancestry.
In the US, a current use is to use these codes to report ethnicity in
line with US federal standards for Hispanic origin.",false,2.16.840.1.113883.18.100,ethnicGroup,"Code system of concepts further defining a patient's ancestry. In
the US, a current use is to use these codes to report ethnicity in line
with US federal standards for Hispanic origin. Used for HL7 Version 2
messaging in the PID segment.",Ethnic Group Code System,http://terminology.hl7.org/CodeSystem/v2-0189,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.112,hl7VS-ethnicGroup,"Concepts further defining a patient's ancestry. In the US, a current
use is to use these codes to report ethnicity in line with US federal
standards for Hispanic origin. Used for HL7 Version 2 messaging in the
PID segment.",Ethnic Group Value Set,http://terminology.hl7.org/ValueSet/v2-0189,all codes,,,,,example,0189,2.16.840.1.113883.12.189,Ethnic Group,"Table of codes further defining a patient's ancestry. In the US, a
current use is to use these codes to report ethnicity in line with US
federal standards for Hispanic origin.",User,PA,PID-22,2.2,,
0190 -- Address Type,DOM: 190,AddressType,The domain of possible values for types or kinds of addresses.,false,2.16.840.1.113883.18.101,addressType,"HL7-defined code system of concepts specifying types or kinds of
addresses. Used in HL7 Version 2.x messaging in the XAD segment.",Address Type Code System,http://terminology.hl7.org/CodeSystem/v2-0190,,,,,,01.12.1994,5,2.2,2.16.840.1.113883.21.113,hl7VS-addressType,Concepts specifying types or kinds of addresses.,Address Type Value Set,http://terminology.hl7.org/ValueSet/v2-0190,all codes,,,,,universal,0190,2.16.840.1.113883.12.190,Address Type,"HL7-defined table of codes specifying types or kinds of
addresses.",HL7,InM,"XAD.8, AD.7",2.2,,
0191 -- Type of Referenced Data,DOM: 191,TypeOfReferencedData,"The domain of possible values declaring the general type of media
data that is encoded.",false,2.16.840.1.113883.18.102,typeOfReferencedData,"HL7-defined code system of concepts declaring the general type of
media data that is encoded. Used in v2.5.1 interfaces and earlier, and
replaced with the full set of IANA media types as a standard coding
system for this after HL7 version 2.6 (see value set
2.16.840.1.113883.21.425 hl7VS-mimeTypes for HL7 table 0834 built on
MIME types). More information may be found at
http://www.iana.org/assignments/media-types/media-types.xhtml",Type of Referenced Data Code System,http://terminology.hl7.org/CodeSystem/v2-0191,,,,,,01.12.1994,4,2.2,2.16.840.1.113883.21.114,hl7VS-typeOfData,"Concepts declaring the general type of media data that is
encoded.",Type of Referenced Data Value Set,http://terminology.hl7.org/ValueSet/v2-0191,all codes,,,,,universal,0191,2.16.840.1.113883.12.191,Type of Referenced Data,"HL7-defined table of codes declaring the general type of media data
that is encoded.",HL7,InM/FM,TXA-3,2.2,,
0193 -- Amount Class,DOM: 193,AmountClass,The domain of possible values for the amount quantity class.,false,2.16.840.1.113883.18.103,amountClass,"Code system of concepts specifying the amount quantity class. Used
in HL7 Version 2.x messaging in the PTA segment.",Amount Class Code System,http://terminology.hl7.org/CodeSystem/v2-0193,,,,,,01.12.1994,1,2.2,2.16.840.1.113883.21.115,hl7VS-amountClass,Value Set of codes that specify the amount quantity class.,Amount Class Value Set,http://terminology.hl7.org/ValueSet/v2-0193,all codes,,,,,example,0193,2.16.840.1.113883.12.193,Amount Class,Table of codes specifying the amount quantity class.,User,InM/FM,PTA.2,2.2,,
0200 -- Name Type,DOM: 200,NameType,The domain of possible values for types of names for persons.,false,2.16.840.1.113883.18.105,nameType2,"HL7-defined code system of concepts for types of names for persons.
Used in HL7 Version 2.x messaging in the XPN, PPN, XCN, PID and MRG
segments.",Name Type Code System,http://terminology.hl7.org/CodeSystem/v2-0200,,,,,,05.05.2007,2,2.5.1,2.16.840.1.113883.21.117,hl7VS-nameType,Concepts for types of names for persons.,Name Type Value Set,http://terminology.hl7.org/ValueSet/v2-0200,all codes,,,,,universal,0200,2.16.840.1.113883.12.200,Name Type,HL7-defined table of codes for types of names for persons.,HL7,InM,"XPN.8, PPN.10, XCN.10, PID-5, MRG-7",2.3,,
0201 -- Telecommunication Use Code,DOM: 201,TelecommunicationUseCode,"The domain of possible values for specifying a specific use of a
telecommunication number. Best practice is to use this concept whenever
a telecommunication number or access string is specified.",false,2.16.840.1.113883.18.106,telecommunicationUse,"HL7-defined code system of concepts for specifying a specific use of
a telecommunication number. Best practice is to use this concept
whenever a telecommunication number or access string is specified. Used
in HL7 Version 2.x messaging in the XTN segment.",Telecommunication Use Code Code System,http://terminology.hl7.org/CodeSystem/v2-0201,,,,,,07.04.1997,3,2.3,2.16.840.1.113883.21.118,hl7VS-telecommunicationUseCode,"Concepts for specifying a specific use of a telecommunication
number.",Telecommunication Use Code Value Set,http://terminology.hl7.org/ValueSet/v2-0201,all codes,,,,,universal,0201,2.16.840.1.113883.12.201,Telecommunication Use Code,"HL7-defined table of codes for specifying a specific use of a
telecommunication number. Best practice is to use this concept whenever
a telecommunication number or access string is specified.",HL7,InM,XTN.2,2.3,,
0202 -- Telecommunication Equipment Type,DOM: 202,TelecommunicationEquipmentType,"The domain of possible values for specifying a type of
telecommunication equipment. Best practice is to use this concept
whenever a telecommunication number or access string for particular
equipment is specified.",false,2.16.840.1.113883.18.107,telecommunicationEquipmentType,"HL7-defined code system of concepts for specifying a type of
telecommunication equipment. Best practice is to use this concept
whenever a telecommunication number or access string for particular
equipment is specified. Used in HL7 Version 2.x messaging in the XTN
segment.",Telecommunication Equipment Type Code System,http://terminology.hl7.org/CodeSystem/v2-0202,,,,,,07.04.1997,4,2.3,2.16.840.1.113883.21.119,hl7VS-telecommunicationEquipmentType,Concepts for specifying a type of telecommunication equipment.,Telecommunication Equipment Type Value Set,http://terminology.hl7.org/ValueSet/v2-0202,all codes,,,,,universal,0202,2.16.840.1.113883.12.202,Telecommunication Equipment Type,"HL7-defined table of codes for specifying a type of
telecommunication equipment. Best practice is to use this concept
whenever a telecommunication number or access string for particular
equipment is specified.",HL7,InM,XTN.3,2.3,,
0203 -- Identifier Type,DOM: 203,IdentifierType,The domain of possible values for the type of identifier.,false,2.16.840.1.113883.18.108,identifierType,"HL7-defined code system of concepts specifying type of identifier.
Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and
XON.",Practitioner ID Number Type Code System,http://terminology.hl7.org/CodeSystem/v2-0203,,,,,,07.04.1997,10,2.3,2.16.840.1.113883.21.120,hl7VS-identifierType,"Concepts specifying types of identififiers, as used in person and
organization identification datatypes in HL7 Version 2 standards.",Identifier Type Value Set,http://terminology.hl7.org/ValueSet/v2-0203,all codes,,,,,representative,0203,2.16.840.1.113883.12.203,Identifier Type,HL7-defined table of codes specifying the type of identififier.,HL7,InM,"CX.5, PPN.13, XCN.13, XON.7",2.3,,
0204 -- Organizational Name Type,DOM: 204,OrganizationalNameType,"The domain of possible values that specify the type of name for an
organization i.e., legal name, display name.",false,2.16.840.1.113883.18.109,organizationalNameType,"Code system of concepts used to specify the type of name for an
organization i.e., legal name, display name. Used in HL7 Version 2.x
messaging in the XON and PD1 segments.",Organizational Name Type Code System,http://terminology.hl7.org/CodeSystem/v2-0204,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.121,hl7VS-organizationalNameType,"Concepts used to specify the type of name for an organization i.e.,
legal name, display name.",Organizational Name Type Value Set,http://terminology.hl7.org/ValueSet/v2-0204,all codes,,,,,example,0204,2.16.840.1.113883.12.204,Organizational Name Type,"Table of codes used to specify the type of name for an organization
i.e., legal name, display name.",User,InM,"XON.2, PD1-3",2.3,,
0205 -- Price Type,DOM: 205,PriceType,"The domain of possible values to identify the intent for the dollar
amount on a pricing transaction.",false,2.16.840.1.113883.18.110,priceType,"HL7-defined code system of concepts used to identify the intent for
the dollar amount on a pricing transaction. Used in HL7 Version 2.x
messaging in the CP datatype.",Price Type Code System,http://terminology.hl7.org/CodeSystem/v2-0205,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.122,hl7VS-priceType,"Value Set of codes that identify the intent for the dollar amount on
a pricing transaction.",Price Type Value Set,http://terminology.hl7.org/ValueSet/v2-0205,all codes,,,,,universal,0205,2.16.840.1.113883.12.205,Price Type,"HL7-defined table of codes used to identify the intent for the
dollar amount on a pricing transaction.",HL7,InM,CP.2,2.3,,
0206 -- Segment Action Code,DOM: 206,SegmentActionCode,"The domain of possible values for actions to be applied for segments
when an HL7 version 2 interface is operating in ""action code mode"" (a
kind of update mode in the Standard).",false,2.16.840.1.113883.18.111,segmentAction,"HL7-defined code system of concepts specifying actions to be applied
for segments when an HL7 version 2 interface is operating in ""action
code mode"" (a kind of update mode in the Standard). Used in HL7 Version
2.x messaging in the RXA, RXV, LCH, IAM, ARV, IN1 and OH1 segments.",Segment Action Code Code System,http://terminology.hl7.org/CodeSystem/v2-0206,,,,,,07.04.1997,2,2.3,2.16.840.1.113883.21.123,hl7VS-segmentActionCode,"Concepts specifying actions to be applied for segments when an HL7
version 2 interface is operating in ""action code mode"" (a kind of update
mode in the Standard).",Segment Action Code Value Set,http://terminology.hl7.org/ValueSet/v2-0206,all codes,,,,,universal,0206,2.16.840.1.113883.12.206,Segment Action Code,"HL7-defined table of codes specifying actions to be applied for
segments when an HL7 version 2 interface is operating in ""action code
mode"" (a kind of update mode in the Standard).",HL7,InM,"CH2, RXA-21, RXV-22, LCH-2, IAM-6, ARV-2, IN1-55, OH1",2.3,,
0207 -- Processing Mode,DOM: 207,V2ProcessingMode,"The domain of possible values that indicate an archival process or
an initial load process.",false,2.16.840.1.113883.18.112,processingMode,"HL7-defined code system of concepts that indicate an archival
process or an initial load process. Used in HL7 Version 2.x messaging in
the PT datatype.",Processing Mode Code System,http://terminology.hl7.org/CodeSystem/v2-0207,,,,,,07.04.1997,2,2.3,2.16.840.1.113883.21.124,hl7VS-processingMode,"Concepts that indicate an archival process or an initial load
process.",Processing Mode Value Set,http://terminology.hl7.org/ValueSet/v2-0207,all codes,,,,,universal,0207,2.16.840.1.113883.12.207,Processing Mode,"HL7-defined table of codes that indicate an archival process or an
initial load process.",HL7,InM,PT.2,2.3,,
0208 -- Query Response Status,DOM: 208,QueryResponseStatus,"The domain of possible values defining precise response status
concepts in support of HL7 Version 2 query messaging. It is commonly
used to indicate no data is found that matches the query parameters, but
no error.",false,2.16.840.1.113883.18.113,queryResponseStatus,"HL7-defined code system of concepts defining precise response status
concepts in support of HL7 Version 2 query messaging. It is commonly
used to indicate no data is found that matches the query parameters, but
no error. Used in HL7 Version 2.x messaging in the QAK segment.",Query Response Status Code System,http://terminology.hl7.org/CodeSystem/v2-0208,,,,,,07.04.1997,2,2.3,2.16.840.1.113883.21.125,hl7VS-queryResponseStatus,"Concepts defining precise response status concepts in support of HL7
Version 2 query messaging.",Query Response Status Value Set,http://terminology.hl7.org/ValueSet/v2-0208,all codes,,,,,universal,0208,2.16.840.1.113883.12.208,Query Response Status,"HL7-defined table of codes defining precise response status concepts
in support of HL7 Version 2 query messaging. It is commonly used to
indicate no data is found that matches the query parameters, but no
error.",HL7,InM,QAK.2,2.3,,
0209 -- Relational Operator,DOM: 209,V2RelationalOperator,"The domain of possible values to define the relationship between HL7
segment field names identified in a query construct.",false,2.16.840.1.113883.18.114,relationalOperator,"HL7-defined code system of concepts used to define the relationship
between HL7 segment field names identified in a query construct. Used in
HL7 Version 2.x messaging in the QSC segment.",Relational Operator Code System,http://terminology.hl7.org/CodeSystem/v2-0209,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.126,hl7VS-relationalOperator,"Value Set of codes that define the relationship between HL7 segment
field names identified in a query construct.",Relational Operator Value Set,http://terminology.hl7.org/ValueSet/v2-0209,all codes,,,,,universal,0209,2.16.840.1.113883.12.209,Relational Operator,"HL7-defined table of codes used to define the relationship between
HL7 segment field names identified in a query construct.",HL7,InM,QSC.2,2.3,,
0210 -- Relational Conjunction,DOM: 210,RelationalConjunction,"The domain of possible values used with relational operator values
to group more than one segment field name.",false,2.16.840.1.113883.18.115,relationalConjunction,"HL7-defined code system of concepts used with relationalOperator
values to group more than one segment field name. Used in HL7 Version
2.x messaging in the QSC segment.",Relational Conjunction Code System,http://terminology.hl7.org/CodeSystem/v2-0210,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.127,hl7VS-relationalConjunction,"Value Set of codes used with relational operator values to group
more than one segment field name.",Relational Conjunction Value Set,http://terminology.hl7.org/ValueSet/v2-0210,all codes,,,,,universal,0210,2.16.840.1.113883.12.210,Relational Conjunction,"HL7-defined table of codes used with relational operator values to
group more than one segment field name.",HL7,InM,QSC.4,2.3,,
0211 -- Alternate Character Sets,DOM: 211,AlternateCharacterSets,"The domain of possible values that identify one of a number of
possible standard alternate character sets for a message, either
single-byte or double-byte.",false,2.16.840.1.113883.18.116,alternateCharacterSets,"HL7-defined code system of concepts used to specify the character
set(s) in use. Includes both single-byte and double-byte characters
sets, and used in Version 2.x messaging in the MSH segment.",Alternate Character Sets Code System,http://terminology.hl7.org/CodeSystem/v2-0211,,,,,,07.04.1997,5,2.3,2.16.840.1.113883.21.128,hl7VS-alternateCharacterSets,"Value Set of codes that identify one of a number of possible
standard alternate character sets for a message, either single-byte or
double-byte.",Alternate Character Sets Value Set,http://terminology.hl7.org/ValueSet/v2-0211,all codes,,,,,universal,0211,2.16.840.1.113883.12.211,Alternate Character Sets,"Table of codes that identify one of a number of possible standard
alternate character sets for a message, either single-byte or
double-byte.",HL7,InM,MSH-18,2.3,,
0212 -- Nationality,DOM: 212,Nationality,"The domain of possible values that identify the nation or national
grouping to which the person belongs. This information may be different
from a person’s citizenship in countries in which multiple nationalities
are recognized (for example, Spain: Basque, Catalan, etc.).",true,,,,,,,,,,,,,,,,,,,,,,,,,0212,2.16.840.1.113883.12.212,Nationality,"Table of codes that identify the nation or national grouping to
which the person belongs. This information may be different from a
person’s citizenship in countries in which multiple nationalities are
recognized (for example, Spain: Basque, Catalan, etc.). No suggested
values.",User,,"NK1-27, GT1-43. IN1-41,",2.3,,
0213 -- Purge Status Code,DOM: 213,PurgeStatusCode,"The domain of possible values that define the state of a visit
relative to its place in a purge workflow.",false,2.16.840.1.113883.18.117,purgeStatus,"Code system of concepts used to define the state of a visit relative
to its place in a purge workflow. Used in HL7 Version 2.x messaging in
the PV2 segment.",Purge Status Code Code System,http://terminology.hl7.org/CodeSystem/v2-0213,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.129,hl7VS-purgeStatus,"Value Set of codes that define the state of a visit relative to its
place in a purge workflow.",Purge Status Code Value Set,http://terminology.hl7.org/ValueSet/v2-0213,all codes,,,,,example,0213,2.16.840.1.113883.12.213,Purge Status Code,"Table of codes used to define the state of a visit relative to its
place in a purge workflow.",User,PA,PV2-16,2.3,,
0214 -- Special Program Code,DOM: 214,SpecialProgramCode,"The domain of possible values that record a health insurance program
required for healthcare visit reimbursement.",false,2.16.840.1.113883.18.118,specialProgram,"Code system of concepts used to record a health insurance program
required for healthcare visit reimbursement. Used in HL7 Version 2.x
messaging in the PV2 segment.",Special Program Code Code System,http://terminology.hl7.org/CodeSystem/v2-0214,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.130,hl7VS-specialProgramCode,"Value Set of codes that record a health insurance program required
for healthcare visit reimbursement.",Special Program Code Value Set,http://terminology.hl7.org/ValueSet/v2-0214,all codes,,,,,example,0214,2.16.840.1.113883.12.214,Special Program Code,"Table of codes used to record a health insurance program required
for healthcare visit reimbursement.",User,PA,PV2-18,2.3,,
0215 -- Publicity Code,DOM: 215,PublicityCode,"The domain of possible values for a level of publicity of
information about a patient for a specific visit.",false,2.16.840.1.113883.18.119,publicity,"Code system of concepts specifying a level of publicity of
information about a patient for a specific visit. Used in HL7 Version
2.x messaging in the PV2 and PD1 segments.",Publicity Code Code System,http://terminology.hl7.org/CodeSystem/v2-0215,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.131,hl7VS-publicityCode,"Concepts specifying a level of publicity of information about a
patient for a specific visit.",Publicity Code Value Set,http://terminology.hl7.org/ValueSet/v2-0215,all codes,,,,,example,0215,2.16.840.1.113883.12.215,Publicity Code,"Table of codes specifying a level of publicity of information about
a patient for a specific visit.",User,PA,"PV2-21, PD1-11",2.3,,
0216 -- Patient Status Code,DOM: 216,PatientStatusCode,"The domain of possible values that define the state of a care
episode for a patient.",false,2.16.840.1.113883.18.120,patientStatus,"Code system of concepts used to define the state of a care episode
for a patient. Used in HL7 Version 2.x messaging in the PV2
segment.",Patient Status Code Code System,http://terminology.hl7.org/CodeSystem/v2-0216,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.132,hl7VS-patientStatusCode,"Value Set of codes that define the state of a care episode for a
patient.",Patient Status Code Value Set,http://terminology.hl7.org/ValueSet/v2-0216,all codes,,,,,example,0216,2.16.840.1.113883.12.216,Patient Status Code,"Table of codes used to define the state of a care episode for a
patient.",User,PA,PV2-24,2.3,,
0217 -- Visit Priority Code,DOM: 217,VisitPriorityCode,"The domain of possible values that define a relative level of
urgency applied to a patient visit.",false,2.16.840.1.113883.18.121,visitPriority,"Code system of concepts used to define a relative level of urgency
applied to a patient visit. Used in HL7 Version 2.x messaging in the PV2
segment.",Visit Priority Code Code System,http://terminology.hl7.org/CodeSystem/v2-0217,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.133,hl7VS-visitPriorityCode,"Value Set of codes that define a relative level of urgency applied
to a patient visit.",Visit Priority Code Value Set,http://terminology.hl7.org/ValueSet/v2-0217,all codes,,,,,representative,0217,2.16.840.1.113883.12.217,Visit Priority Code,"Table of codes used to define a relative level of urgency applied to
a patient visit.",User,PA,PV2-25,2.3,,
0218 -- Patient Charge Adjustment,DOM: 218,PatientChargeAdjustment,"The domain of possible values that indicate which adjustments should
be made to a guarantor’s charges. For example, when a hospital agrees to
adjust a guarantor’s charges to a sliding scale. No suggested
values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0218,2.16.840.1.113883.12.218,Patient Charge Adjustment,"Table of codes used to indicate which adjustments should be made to
a guarantor’s charges. For example, when a hospital agrees to adjust a
guarantor’s charges to a sliding scale. No suggested values.",User,PA,GT1-26,2.3,,
0219 -- Recurring Service Code,DOM: 219,RecurringServiceCode,"The domain of possible values that indicate whether a treatment is
continuous. No suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0219,2.16.840.1.113883.12.219,Recurring Service Code,"Table of codes used to indicate whether a treatment is continuous.
No suggested values.",User,PA,PV2-31,2.3,,
0220 -- Living Arrangement,DOM: 220,V2LivingArrangement,"The domain of possible values characterizing the situation that
patient-associated parties live in at their residential address.",false,2.16.840.1.113883.18.122,livingArrangement,"Code system of concepts characterizing the situation that
patient-associated parties live in at their residential address. Used in
HL7 Version 2.x messaging in the NK1 and PD1 segments.",Living Arrangement Code System,http://terminology.hl7.org/CodeSystem/v2-0220,,,,,,07.04.1997,2,2.3,2.16.840.1.113883.21.134,hl7VS-livingArrangement,"Concepts characterizing the situation that patient-associated
parties live in at their residential address.",Living Arrangement Value Set,http://terminology.hl7.org/ValueSet/v2-0220,all codes,,,,,example,0220,2.16.840.1.113883.12.220,Living Arrangement,"Table of codes characterizing the situation that patient-associated
parties live in at their residential address.",User,PA,"NK1-21, PD1-2",2.3,,
0222 -- Contact Reason,DOM: 222,ContactReason,"The domain of possible values that indicate a reason for contacting
a guarantor, for example, to phone a guarantor if payments are late. No
suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0222,2.16.840.1.113883.12.222,Contact Reason,"Table of codes used to indicate a reason for contacting a guarantor,
for example, to phone a guarantor if payments are late. No suggested
values.",User,FM,"GT1-47, NK1-29",2.3,,
0223 -- Living Dependency,DOM: 223,LivingDependency,"The domain of possible values identifying specific living conditions
(e.g., spouse dependent on patient, walk-up) that are relevant to an
evaluation of the patient's healthcare needs.",false,2.16.840.1.113883.18.124,livingDependency2,"HL7-defined code system of concepts that identify specific living
conditions (e.g., spouse dependent on patient, walk-up) that are
relevant to an evaluation of the patient’s healthcare needs. This
information can be used for discharge planning. Examples might include
Spouse Dependent, Medical Supervision Required, Small Children
Dependent. Used in Version 2.s messaging in the NK1 segment.",Living Dependency Code System,http://terminology.hl7.org/CodeSystem/v2-0223,,,,,,01.11.2000,2,2.4,2.16.840.1.113883.21.136,hl7VS-livingDependency,"Value Set of codes identifying specific living conditions (e.g.,
spouse dependent on patient, walk-up) that are relevant to an evaluation
of the patient's healthcare needs.",Living Dependency Value Set,http://terminology.hl7.org/ValueSet/v2-0223,all codes,,,,,example,0223,2.16.840.1.113883.12.223,Living Dependency,"Table of codes identifying specific living conditions (e.g., spouse
dependent on patient, walk-up) that are relevant to an evaluation of the
patient's healthcare needs.",User,PA,"NK1-17, PD1-1",2.3,,
0224 -- Transport Arranged,DOM: 224,TransportArranged,"The domain of possible values defining whether patient
transportation preparations are in place.",false,2.16.840.1.113883.18.125,transportArranged,"HL7-defined code system of concepts defining whether patient
transportation preparations are in place. Used in HL7 Version 2.x
messaging in the OBR segment.",Transport Arranged Code System,http://terminology.hl7.org/CodeSystem/v2-0224,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.137,hl7VS-transportArranged,"Value Set of codes defining whether patient transportation
preparations are in place.",Transport Arranged Value Set,http://terminology.hl7.org/ValueSet/v2-0224,all codes,,,,,universal,0224,2.16.840.1.113883.12.224,Transport Arranged,"HL7-defined table of codes defining whether patient transportation
preparations are in place.",HL7,OO,OBR-41,2.3,,
0225 -- Escort Required,DOM: 225,EscortRequired,"The domain of possible values indicating whether a patient must be
accompanied while travelling to a diagnostic service department.",false,2.16.840.1.113883.18.126,escortRequired,"HL7-defined code system of concepts defining whether patient
transportation preparations are in place. Used in HL7 Version 2.x
messaging in the OBR segment.",Escort Required Code System,http://terminology.hl7.org/CodeSystem/v2-0225,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.138,hl7VS-escortRequired,"Value Set of codes indicating whether a patient must be accompanied
while travelling to a diagnostic service department.",Escort Required Value Set,http://terminology.hl7.org/ValueSet/v2-0225,all codes,,,,,universal,0225,2.16.840.1.113883.12.225,Escort Required,"HL7-defined table of codes indicating whether a patient must be
accompanied while travelling to a diagnostic service department.",HL7,OO,OBR-42,2.3,,
